,locus_tag,old_locus_tag,name,description,type,length
lcl|NC_002947.4_gene_24,PP_RS00120,,,hypothetical protein,CDS,207
lcl|NC_002947.4_gene_25,PP_RS28780,PP_0023,,hypothetical protein,CDS,129
lcl|NC_002947.4_gene_26,PP_RS00125,PP_0024,,phosphoethanolamine transferase,CDS,1698
lcl|NC_002947.4_gene_27,PP_RS00130,,,zinc ribbon domain-containing protein,CDS,339
lcl|NC_002947.4_gene_28,PP_RS00135,PP_0026,,cation diffusion facilitator family transporter,CDS,906
lcl|NC_002947.4_gene_29,PP_RS00140,PP_0027,,DUF3147 family protein,CDS,351
lcl|NC_002947.4_gene_30,PP_RS00145,PP_0028,,DUF2790 domain-containing protein,CDS,327
lcl|NC_002947.4_gene_31,PP_RS00150,PP_0029,,heavy metal response regulator transcription factor,CDS,675
lcl|NC_002947.4_gene_32,PP_RS00155,PP_0030,,heavy metal sensor histidine kinase,CDS,1419
lcl|NC_002947.4_gene_33,PP_RS00160,PP_0031,,hypothetical protein,CDS,588
lcl|NC_002947.4_gene_34,PP_RS00165,PP_0032,,hypothetical protein,CDS,222
lcl|NC_002947.4_gene_35,PP_RS00170,PP_0033,,phospholipid carrier-dependent glycosyltransferase,CDS,1455
lcl|NC_002947.4_gene_36,PP_RS00175,PP_0034,,glycosyltransferase family 2 protein,CDS,984
lcl|NC_002947.4_gene_37,PP_RS00180,PP_0035,,GtrA family protein,CDS,420
lcl|NC_002947.4_gene_38,PP_RS00185,PP_0036,,LysR family transcriptional regulator,CDS,969
lcl|NC_002947.4_gene_39,PP_RS00190,PP_0037,,OprO/OprP family phosphate-selective porin,CDS,1308
lcl|NC_002947.4_gene_40,PP_RS00195,PP_0039,,hypothetical protein,CDS,1026
lcl|NC_002947.4_gene_41,PP_RS00200,PP_0040,,hypothetical protein,CDS,225
lcl|NC_002947.4_gene_42,PP_RS00205,PP_0041,,heavy metal translocating P-type ATPase,CDS,1998
lcl|NC_002947.4_gene_43,PP_RS00210,PP_0042,,DUF2790 domain-containing protein,CDS,324
lcl|NC_002947.4_gene_44,PP_RS00215,PP_0043,,CusA/CzcA family heavy metal efflux RND transporter,CDS,3162
lcl|NC_002947.4_gene_45,PP_RS00220,PP_0044,,efflux RND transporter periplasmic adaptor subunit,CDS,1251
lcl|NC_002947.4_gene_46,PP_RS00225,PP_0045,,TolC family protein,CDS,1272
lcl|NC_002947.4_gene_47,PP_RS00230,PP_0046,,OprD family porin,CDS,1344
lcl|NC_002947.4_gene_48,PP_RS00235,PP_0047,,heavy metal response regulator transcription factor,CDS,675
lcl|NC_002947.4_gene_49,PP_RS00240,PP_0048,,hypothetical protein,CDS,324
lcl|NC_002947.4_gene_50,PP_RS00245,PP_5423,,hypothetical protein,CDS,528
lcl|NC_002947.4_gene_51,PP_RS00250,PP_0049,,hypothetical protein,CDS,1398
lcl|NC_002947.4_gene_52,PP_RS00255,PP_5424,,hypothetical protein,CDS,402
lcl|NC_002947.4_gene_53,PP_RS00260,PP_0050,,RcnB family protein,CDS,408
lcl|NC_002947.4_gene_54,PP_RS00265,PP_0051,,sigma-54-dependent Fis family transcriptional regulator,CDS,1293
lcl|NC_002947.4_gene_55,PP_RS00270,PP_0052,,MBL fold metallo-hydrolase,CDS,885
lcl|NC_002947.4_gene_56,PP_RS00275,PP_0053,,FAD/NAD(P)-binding oxidoreductase,CDS,1269
lcl|NC_002947.4_gene_57,PP_RS00280,PP_0054,,sulfite exporter TauE/SafE family protein,CDS,819
lcl|NC_002947.4_gene_58,PP_RS00285,PP_0055,,LysR family transcriptional regulator,CDS,888
lcl|NC_002947.4_gene_59,PP_RS00290,PP_0056,,GMC family oxidoreductase,CDS,1647
lcl|NC_002947.4_gene_60,PP_RS00295,PP_0057,,MFS transporter,CDS,1620
lcl|NC_002947.4_gene_61,PP_RS00300,PP_0058,,1-acyl-sn-glycerol-3-phosphate acyltransferase,CDS,786
lcl|NC_002947.4_gene_62,PP_RS00305,PP_0059,gmhB,"D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase",CDS,528
lcl|NC_002947.4_gene_63,PP_RS00310,PP_0060,glyS,glycine--tRNA ligase subunit beta,CDS,2055
lcl|NC_002947.4_gene_64,PP_RS00315,PP_0061,glyQ,glycine--tRNA ligase subunit alpha,CDS,948
lcl|NC_002947.4_gene_65,PP_RS00320,PP_0062,,DNA-3-methyladenine glycosylase I,CDS,552
lcl|NC_002947.4_gene_66,PP_RS00325,PP_0063,,lysophospholipid acyltransferase,CDS,888
lcl|NC_002947.4_gene_67,PP_RS00330,PP_0064,,tetratricopeptide repeat protein,CDS,315
lcl|NC_002947.4_gene_68,PP_RS00335,PP_0065,trkA,Trk system potassium transporter TrkA,CDS,1374
lcl|NC_002947.4_gene_69,PP_RS00340,PP_0066,rsmB,16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB,CDS,1311
lcl|NC_002947.4_gene_70,PP_RS00345,PP_0067,fmt,methionyl-tRNA formyltransferase,CDS,933
lcl|NC_002947.4_gene_71,PP_RS00350,PP_0068,def,peptide deformylase,CDS,507
lcl|NC_002947.4_gene_72,PP_RS00355,PP_0069,dprA,DNA-processing protein DprA,CDS,1098
lcl|NC_002947.4_gene_73,PP_RS00360,PP_0070,,L-threonylcarbamoyladenylate synthase,CDS,558
lcl|NC_002947.4_gene_74,PP_RS00365,PP_5425,,hypothetical protein,CDS,201
lcl|NC_002947.4_gene_75,PP_RS00370,PP_0071,,hypothetical protein,CDS,315
lcl|NC_002947.4_gene_76,PP_RS00375,PP_0072,,NADPH:quinone reductase,CDS,978
lcl|NC_002947.4_gene_77,PP_RS00380,PP_0073,hemF,oxygen-dependent coproporphyrinogen oxidase,CDS,912
lcl|NC_002947.4_gene_78,PP_RS00385,PP_0074,aroE,shikimate dehydrogenase,CDS,825
lcl|NC_002947.4_gene_79,PP_RS00390,PP_0075,,SulP family inorganic anion transporter,CDS,1566
lcl|NC_002947.4_gene_80,PP_RS00395,PP_0076,choX,choline ABC transporter substrate-binding protein,CDS,924
lcl|NC_002947.4_gene_81,PP_RS00400,PP_0077,betC,choline-sulfatase,CDS,1518
lcl|NC_002947.4_gene_82,PP_RS00405,PP_0079,,choline sulfate utilization transcriptional regulator,CDS,900
lcl|NC_002947.4_gene_83,PP_RS00410,PP_0080,,NAD(P)H-binding protein,CDS,618
lcl|NC_002947.4_gene_84,PP_RS00415,PP_0081,,"DOPA 4,5-dioxygenase family protein",CDS,333
lcl|NC_002947.4_gene_85,PP_RS00420,PP_0082,trpA,tryptophan synthase subunit alpha,CDS,810
lcl|NC_002947.4_gene_86,PP_RS00425,PP_0083,trpB,tryptophan synthase subunit beta,CDS,1218
lcl|NC_002947.4_gene_87,PP_RS00430,PP_0084,,LysR family transcriptional regulator,CDS,897
lcl|NC_002947.4_gene_88,PP_RS00435,PP_0085,,YqjD family protein,CDS,324
lcl|NC_002947.4_gene_89,PP_RS00440,PP_0086,,dodecin,CDS,216
lcl|NC_002947.4_gene_90,PP_RS00445,PP_0087,,DUF1161 domain-containing protein,CDS,222
lcl|NC_002947.4_gene_91,PP_RS00450,PP_0088,,LLM class flavin-dependent oxidoreductase,CDS,1005
lcl|NC_002947.4_gene_92,PP_RS00455,PP_0089,,OsmC family protein,CDS,426
lcl|NC_002947.4_gene_93,PP_RS00460,PP_0090,,DUF1161 domain-containing protein,CDS,234
lcl|NC_002947.4_gene_94,PP_RS00465,PP_0091,,lipoprotein,CDS,414
lcl|NC_002947.4_gene_95,PP_RS00470,PP_0092,,lipoprotein,CDS,414
lcl|NC_002947.4_gene_96,PP_RS00475,PP_0093,,aminopeptidase,CDS,1077
lcl|NC_002947.4_gene_97,PP_RS00480,PP_0094,,HAD family hydrolase,CDS,651
lcl|NC_002947.4_gene_98,PP_RS00485,PP_0095,,gamma carbonic anhydrase family protein,CDS,549
lcl|NC_002947.4_gene_99,PP_RS00490,PP_0096,prlC,oligopeptidase A,CDS,2088
lcl|NC_002947.4_gene_100,PP_RS00495,PP_0097,,YheV family putative zinc ribbon protein,CDS,282
lcl|NC_002947.4_gene_101,PP_RS00505,PP_0099,,PA0069 family radical SAM protein,CDS,1059
lcl|NC_002947.4_gene_102,PP_RS00510,PP_0100,,carbonic anhydrase,CDS,720
lcl|NC_002947.4_gene_103,PP_RS00515,PP_0101,,SulP family inorganic anion transporter,CDS,1533
lcl|NC_002947.4_gene_104,PP_RS00520,PP_5426,,hypothetical protein,CDS,642
lcl|NC_002947.4_gene_105,PP_RS00525,PP_0103,coxB,cytochrome c oxidase subunit II,CDS,1128
lcl|NC_002947.4_gene_106,PP_RS00530,PP_0104,ctaD,cytochrome c oxidase subunit I,CDS,1590
lcl|NC_002947.4_gene_107,PP_RS00535,PP_0105,,cytochrome c oxidase assembly protein,CDS,567
lcl|NC_002947.4_gene_108,PP_RS00540,PP_0106,,cytochrome c oxidase subunit 3,CDS,888
lcl|NC_002947.4_gene_109,PP_RS00545,PP_5427,,twin transmembrane helix small protein,CDS,204
lcl|NC_002947.4_gene_110,PP_RS00550,PP_0107,,SURF1 family protein,CDS,738
lcl|NC_002947.4_gene_111,PP_RS00555,PP_0108,,hypothetical protein,CDS,582
lcl|NC_002947.4_gene_112,PP_RS00560,PP_0109,,heme A synthase,CDS,1080
lcl|NC_002947.4_gene_113,PP_RS00565,PP_0110,cyoE,heme o synthase,CDS,894
lcl|NC_002947.4_gene_114,PP_RS00570,PP_0111,,SCO family protein,CDS,633
lcl|NC_002947.4_gene_115,PP_RS00575,PP_0112,,MetQ/NlpA family ABC transporter substrate-binding protein,CDS,771
lcl|NC_002947.4_gene_116,PP_RS00580,PP_0113,,methionine ABC transporter permease,CDS,672
lcl|NC_002947.4_gene_117,PP_RS00585,PP_0114,,methionine ABC transporter ATP-binding protein,CDS,1008
lcl|NC_002947.4_gene_118,PP_RS00590,PP_0115,katE,catalase HPII,CDS,2136
lcl|NC_002947.4_gene_119,PP_RS00595,PP_0116,,PA5502 family lipoprotein,CDS,708
lcl|NC_002947.4_gene_120,PP_RS00600,PP_0117,znuB,zinc ABC transporter permease subunit ZnuB,CDS,783
lcl|NC_002947.4_gene_121,PP_RS00605,PP_0118,znuC,zinc ABC transporter ATP-binding protein ZnuC,CDS,774
lcl|NC_002947.4_gene_122,PP_RS00610,PP_0119,zur,zinc uptake transcriptional repressor Zur,CDS,486
lcl|NC_002947.4_gene_123,PP_RS00615,PP_0120,,zinc ABC transporter substrate-binding protein,CDS,909
lcl|NC_002947.4_gene_124,PP_RS00620,PP_0121,,homoserine kinase,CDS,951
lcl|NC_002947.4_gene_125,PP_RS00625,PP_0122,,DUF2782 domain-containing protein,CDS,288
lcl|NC_002947.4_gene_126,PP_RS00630,PP_0123,polA,DNA polymerase I,CDS,2748
lcl|NC_002947.4_gene_127,PP_RS00635,PP_0124,yihA,ribosome biogenesis GTP-binding protein YihA/YsxC,CDS,633
lcl|NC_002947.4_gene_128,PP_RS00640,PP_0125,,cytochrome c5 family protein,CDS,303
lcl|NC_002947.4_gene_129,PP_RS00645,PP_0126,,cytochrome c,CDS,618
lcl|NC_002947.4_gene_130,PP_RS00650,PP_0127,dsbA,thiol:disulfide interchange protein DsbA,CDS,633
lcl|NC_002947.4_gene_131,PP_RS00655,PP_0128,,endonuclease/exonuclease/phosphatase family protein,CDS,855
lcl|NC_002947.4_gene_132,PP_RS00660,PP_0129,,GGDEF domain-containing protein,CDS,1938
lcl|NC_002947.4_gene_133,PP_RS00665,PP_0130,,N-acetylmuramoyl-L-alanine amidase,CDS,789
lcl|NC_002947.4_gene_134,PP_RS00670,PP_0131,,EAL domain-containing protein,CDS,1599
lcl|NC_002947.4_gene_135,PP_RS00675,PP_0132,,KinB sensor domain-containing domain,CDS,1782
lcl|NC_002947.4_gene_136,PP_RS00680,PP_0133,algB,sigma-54-dependent response regulator transcription factor AlgB,CDS,1347
lcl|NC_002947.4_gene_137,PP_RS00685,PP_0134,,BON domain-containing protein,CDS,822
lcl|NC_002947.4_gene_138,PP_RS00690,PP_5428,,hypothetical protein,CDS,291
lcl|NC_002947.4_gene_139,PP_RS00695,PP_0135,,DUF1328 domain-containing protein,CDS,162
lcl|NC_002947.4_gene_140,PP_RS00700,PP_0136,,inhibitor of vertebrate lysozyme family protein,CDS,471
lcl|NC_002947.4_gene_141,PP_RS00705,PP_0137,gltP,glutamate/aspartate:proton symporter GltP,CDS,1329
lcl|NC_002947.4_gene_142,PP_RS00710,PP_0138,,nucleoside recognition domain-containing protein,CDS,1230
lcl|NC_002947.4_gene_143,PP_RS00715,PP_0139,,ABC-type transport auxiliary lipoprotein family protein,CDS,636
lcl|NC_002947.4_gene_144,PP_RS00720,PP_0140,,MlaD family protein,CDS,939
lcl|NC_002947.4_gene_145,PP_RS00725,PP_0141,,ABC transporter ATP-binding protein,CDS,792
lcl|NC_002947.4_gene_146,PP_RS00730,PP_0142,,ABC transporter permease,CDS,1134
lcl|NC_002947.4_gene_147,PP_RS00735,PP_0143,,DUF5924 family protein,CDS,1026
lcl|NC_002947.4_gene_148,PP_RS00740,PP_0144,,pitrilysin family protein,CDS,1407
lcl|NC_002947.4_gene_149,PP_RS00745,PP_0145,,Na/Pi cotransporter family protein,CDS,1659
lcl|NC_002947.4_gene_150,PP_RS00750,PP_0146,,TerC family protein,CDS,771
lcl|NC_002947.4_gene_151,PP_RS00755,PP_0147,,CitMHS family transporter,CDS,1308
lcl|NC_002947.4_gene_152,PP_RS00760,PP_0148,,GFA family protein,CDS,402
lcl|NC_002947.4_gene_153,PP_RS00765,PP_0149,,DUF4105 domain-containing protein,CDS,1956
lcl|NC_002947.4_gene_154,PP_RS00770,PP_0150,,DUF2388 domain-containing protein,CDS,321
lcl|NC_002947.4_gene_155,PP_RS00775,PP_0151,,DUF2388 domain-containing protein,CDS,294
lcl|NC_002947.4_gene_156,PP_RS00780,PP_0152,,DUF2388 domain-containing protein,CDS,318
lcl|NC_002947.4_gene_157,PP_RS00785,PP_0153,,DUF1127 domain-containing protein,CDS,216
lcl|NC_002947.4_gene_158,PP_RS00790,PP_0154,,acetyl-CoA hydrolase/transferase family protein,CDS,1494
lcl|NC_002947.4_gene_159,PP_RS00795,PP_0155,,NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta,CDS,1437
lcl|NC_002947.4_gene_160,PP_RS00800,PP_5747,,NAD(P) transhydrogenase subunit alpha,CDS,315
lcl|NC_002947.4_gene_161,PP_RS00805,PP_0156,,Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha,CDS,1122
lcl|NC_002947.4_gene_162,PP_RS00810,PP_0157,,LysR family transcriptional regulator,CDS,918
lcl|NC_002947.4_gene_163,PP_RS00815,PP_0158,,acyl-CoA dehydrogenase,CDS,1182
lcl|NC_002947.4_gene_164,PP_RS00820,PP_0159,,CaiB/BaiF CoA-transferase family protein,CDS,1221
lcl|NC_002947.4_gene_165,PP_RS00825,PP_16SA,,16S ribosomal RNA,rRNA,1537
lcl|NC_002947.4_gene_166,PP_RS00830,PP_23SA,,23S ribosomal RNA,rRNA,2893
lcl|NC_002947.4_gene_167,PP_RS00835,PP_5SA,rrf,5S ribosomal RNA,rRNA,116
lcl|NC_002947.4_gene_168,PP_RS00840,PP_16SB,,16S ribosomal RNA,rRNA,1537
lcl|NC_002947.4_gene_169,PP_RS00845,PP_23SB,,23S ribosomal RNA,rRNA,2893
lcl|NC_002947.4_gene_170,PP_RS00850,PP_r01,rrf,5S ribosomal RNA,rRNA,116
lcl|NC_002947.4_gene_171,PP_RS00855,PP_5SB,rrf,5S ribosomal RNA,rRNA,116
lcl|NC_002947.4_gene_172,PP_RS00860,PP_0160,,TonB-dependent siderophore receptor,CDS,2415
lcl|NC_002947.4_gene_173,PP_RS00865,PP_0161,,FecR family protein,CDS,957
lcl|NC_002947.4_gene_174,PP_RS00870,PP_0162,,sigma-70 family RNA polymerase sigma factor,CDS,504
lcl|NC_002947.4_gene_175,PP_RS00875,PP_0163,,GntR family transcriptional regulator,CDS,690
lcl|NC_002947.4_gene_176,PP_RS00880,PP_0164,,cysteine protease LapG,CDS,762
lcl|NC_002947.4_gene_177,PP_RS00885,PP_0165,,cyclic di-GMP receptor LapD,CDS,1947
lcl|NC_002947.4_gene_178,PP_RS00890,PP_0166,,HlyD family type I secretion periplasmic adaptor subunit,CDS,1359
lcl|NC_002947.4_gene_179,PP_RS00895,PP_0167,,type I secretion system permease/ATPase,CDS,2157
lcl|NC_002947.4_gene_180,PP_RS00900,PP_0168,,immunoglobulin-like domain-containing protein,CDS,26049
lcl|NC_002947.4_gene_181,PP_RS00905,PP_5431,,hypothetical protein,CDS,342
lcl|NC_002947.4_gene_182,PP_RS00910,PP_0169,,TauD/TfdA family dioxygenase,CDS,900
lcl|NC_002947.4_gene_183,PP_RS00915,PP_0170,,ABC transporter substrate-binding protein,CDS,1020
lcl|NC_002947.4_gene_184,PP_RS00920,PP_0171,,ABC transporter ATP-binding protein,CDS,864
lcl|NC_002947.4_gene_185,PP_RS00925,PP_0172,,ABC transporter permease,CDS,864
lcl|NC_002947.4_gene_186,PP_RS00930,PP_0173,,WYL domain-containing protein,CDS,561
lcl|NC_002947.4_gene_187,PP_RS00935,PP_0174,,tetratricopeptide repeat protein,CDS,795
lcl|NC_002947.4_gene_188,PP_RS00940,PP_0175,,MarR family winged helix-turn-helix transcriptional regulator,CDS,453
lcl|NC_002947.4_gene_189,PP_RS00945,PP_0176,,FUSC family protein,CDS,2088
lcl|NC_002947.4_gene_190,PP_RS00950,PP_0177,,DUF1656 domain-containing protein,CDS,213
lcl|NC_002947.4_gene_191,PP_RS00955,PP_0178,,HlyD family secretion protein,CDS,876
lcl|NC_002947.4_gene_192,PP_RS00960,PP_0179,,efflux transporter outer membrane subunit,CDS,1419
lcl|NC_002947.4_gene_193,PP_RS00965,PP_0180,,FTR1 family protein,CDS,1944
lcl|NC_002947.4_gene_194,PP_RS00970,PP_0181,,TIGR02647 family protein,CDS,246
lcl|NC_002947.4_gene_195,PP_RS00975,PP_0182,,hypothetical protein,CDS,303
lcl|NC_002947.4_gene_196,PP_RS00980,PP_0183,,glutathione S-transferase,CDS,663
lcl|NC_002947.4_gene_197,PP_RS00985,PP_0184,argH,argininosuccinate lyase,CDS,1395
lcl|NC_002947.4_gene_198,PP_RS00990,PP_0185,,LytTR family DNA-binding domain-containing protein,CDS,744
lcl|NC_002947.4_gene_199,PP_RS00995,PP_0186,hemC,hydroxymethylbilane synthase,CDS,942
lcl|NC_002947.4_gene_200,PP_RS01000,PP_0187,,uroporphyrinogen-III synthase,CDS,768
lcl|NC_002947.4_gene_201,PP_RS01005,PP_0188,,uroporphyrinogen-III C-methyltransferase,CDS,1101
lcl|NC_002947.4_gene_202,PP_RS01010,PP_0189,,heme biosynthesis protein HemY,CDS,1239
lcl|NC_002947.4_gene_203,PP_RS01015,PP_0190,,disulfide bond formation protein B,CDS,507
lcl|NC_002947.4_gene_204,PP_RS01020,PP_0191,,Rsd/AlgQ family anti-sigma factor,CDS,471
lcl|NC_002947.4_gene_205,PP_RS01025,PP_0192,,FKBP-type peptidyl-prolyl cis-trans isomerase,CDS,639
lcl|NC_002947.4_gene_206,PP_RS01030,PP_0194,,AlgP family protein,CDS,990
lcl|NC_002947.4_gene_207,PP_RS01035,PP_0195,,TIGR02444 family protein,CDS,480
lcl|NC_002947.4_gene_208,PP_RS01040,PP_0196,,ATP-binding cassette domain-containing protein,CDS,1911
lcl|NC_002947.4_gene_209,PP_RS01045,PP_0197,,mechanosensitive ion channel family protein,CDS,588
lcl|NC_002947.4_gene_210,PP_RS01050,PP_0198,,LysE family transporter,CDS,633
lcl|NC_002947.4_gene_211,PP_RS01055,PP_0199,,slipin family protein,CDS,753
lcl|NC_002947.4_gene_212,PP_RS01060,PP_0200,,nodulation protein NfeD,CDS,1347
lcl|NC_002947.4_gene_213,PP_RS01065,PP_0201,,aminoacyl-tRNA deacylase,CDS,459
lcl|NC_002947.4_gene_214,PP_RS01070,PP_5432,,DUF2789 domain-containing protein,CDS,243
lcl|NC_002947.4_gene_215,PP_RS01075,PP_5433,,hypothetical protein,CDS,639
lcl|NC_002947.4_gene_216,PP_RS01080,PP_0202,,CBS domain-containing protein,CDS,438
lcl|NC_002947.4_gene_217,PP_RS01085,PP_0203,,dipeptidase,CDS,1731
lcl|NC_002947.4_gene_218,PP_RS01090,PP_t74,,tRNA-Arg,tRNA,77
lcl|NC_002947.4_gene_219,PP_RS01095,PP_0204,,GntR family transcriptional regulator,CDS,750
lcl|NC_002947.4_gene_220,PP_RS01100,PP_0205,,fumarate reductase/succinate dehydrogenase flavoprotein subunit,CDS,1725
lcl|NC_002947.4_gene_221,PP_RS01105,PP_0206,,ferredoxin family protein,CDS,246
lcl|NC_002947.4_gene_222,PP_RS01110,PP_0207,,ABC transporter substrate-binding protein,CDS,1407
lcl|NC_002947.4_gene_223,PP_RS01115,PP_0208,,ABC transporter permease,CDS,783
lcl|NC_002947.4_gene_224,PP_RS01120,PP_0209,,ABC transporter ATP-binding protein,CDS,852
lcl|NC_002947.4_gene_225,PP_RS01125,PP_0210,,HEAT repeat domain-containing protein,CDS,966
lcl|NC_002947.4_gene_226,PP_RS01130,PP_0211,,gamma-butyrobetaine hydroxylase-like domain-containing protein,CDS,282
lcl|NC_002947.4_gene_227,PP_RS28825,PP_5434,,aryl-sulfate sulfotransferase,CDS,181
lcl|NC_002947.4_gene_228,PP_RS01135,PP_0213,gabD,NADP-dependent succinate-semialdehyde dehydrogenase,CDS,1443
lcl|NC_002947.4_gene_229,PP_RS01140,PP_0214,gabT,4-aminobutyrate--2-oxoglutarate transaminase,CDS,1278
lcl|NC_002947.4_gene_230,PP_RS01145,PP_0215,,response regulator,CDS,1260
lcl|NC_002947.4_gene_231,PP_RS01150,PP_0216,,sensor domain-containing diguanylate cyclase,CDS,1029
lcl|NC_002947.4_gene_232,PP_RS01155,PP_0217,desA,delta-9 fatty acid desaturase DesA,CDS,1185
lcl|NC_002947.4_gene_233,PP_RS01160,PP_0218,,phosphodiesterase DibA,CDS,1896
lcl|NC_002947.4_gene_234,PP_RS01165,PP_0219,,methionine ABC transporter permease,CDS,645
lcl|NC_002947.4_gene_235,PP_RS01170,PP_0220,,methionine ABC transporter ATP-binding protein,CDS,1110
lcl|NC_002947.4_gene_236,PP_RS01175,PP_0221,,MetQ/NlpA family ABC transporter substrate-binding protein,CDS,801
lcl|NC_002947.4_gene_237,PP_RS01180,PP_0222,,LLM class flavin-dependent oxidoreductase,CDS,1386
lcl|NC_002947.4_gene_238,PP_RS01185,PP_0223,,SfnB family sulfur acquisition oxidoreductase,CDS,1182
lcl|NC_002947.4_gene_239,PP_RS01190,PP_0224,,SfnB family sulfur acquisition oxidoreductase,CDS,1242
lcl|NC_002947.4_gene_240,PP_RS01195,PP_0225,tcyN,L-cystine ABC transporter ATP-binding protein TcyN,CDS,759
lcl|NC_002947.4_gene_241,PP_RS01200,PP_0226,tcyL,cystine ABC transporter permease,CDS,669
lcl|NC_002947.4_gene_242,PP_RS01205,PP_0227,tcyJ,cystine ABC transporter substrate-binding protein,CDS,795
lcl|NC_002947.4_gene_243,PP_RS01210,PP_0228,epsC,serine O-acetyltransferase EpsC,CDS,933
lcl|NC_002947.4_gene_244,PP_RS01215,PP_0229,betT,choline transporter BetT,CDS,1962
lcl|NC_002947.4_gene_245,PP_RS01220,PP_0230,tauD,taurine dioxygenase,CDS,834
lcl|NC_002947.4_gene_246,PP_RS01225,PP_0231,tauC,taurine ABC transporter permease TauC,CDS,840
lcl|NC_002947.4_gene_247,PP_RS01230,PP_0232,tauB,taurine ABC transporter ATP-binding subunit,CDS,789
lcl|NC_002947.4_gene_248,PP_RS01235,PP_0233,tauA,taurine ABC transporter substrate-binding protein,CDS,972
lcl|NC_002947.4_gene_249,PP_RS01240,PP_0234,,OprD family porin,CDS,1335
lcl|NC_002947.4_gene_250,PP_RS01245,PP_0235,,peroxiredoxin,CDS,639
lcl|NC_002947.4_gene_251,PP_RS01250,PP_0236,ssuE,NADPH-dependent FMN reductase,CDS,594
lcl|NC_002947.4_gene_252,PP_RS01255,PP_0237,,sulfonate ABC transporter substrate-binding protein,CDS,966
lcl|NC_002947.4_gene_253,PP_RS01260,PP_0238,ssuD,FMNH2-dependent alkanesulfonate monooxygenase,CDS,1149
lcl|NC_002947.4_gene_254,PP_RS01265,PP_0239,ssuC,aliphatic sulfonate ABC transporter permease SsuC,CDS,798
lcl|NC_002947.4_gene_255,PP_RS01270,PP_0240,ssuB,aliphatic sulfonates ABC transporter ATP-binding protein,CDS,813
lcl|NC_002947.4_gene_256,PP_RS01275,PP_0241,,molybdopterin-binding protein,CDS,216
lcl|NC_002947.4_gene_257,PP_RS01280,PP_0242,,TetR/AcrR family transcriptional regulator,CDS,633
lcl|NC_002947.4_gene_258,PP_RS01285,PP_0243,gshA,glutamate--cysteine ligase,CDS,1593
lcl|NC_002947.4_gene_259,PP_RS01290,PP_0244,,PaaI family thioesterase,CDS,384
lcl|NC_002947.4_gene_260,PP_RS01295,PP_0245,,Tex family protein,CDS,2325
