,PPutida_1,PPutida_2,PPutida_4,locus_tag,name,description,type,length
PP_1075,70.0,243.0,261.0,PP_RS05605,glpK,glycerol kinase GlpK,CDS,1500
PP_1076,37.0,82.0,77.0,PP_RS05610,,MIP/aquaporin family protein,CDS,852
PP_1077,57.0,149.0,100.0,PP_RS05615,ybaK,Cys-tRNA(Pro) deacylase,CDS,471
PP_1078,76.0,249.0,220.0,PP_RS05620,,ABC transporter ATP-binding protein,CDS,1110
PP_0110,22.0,12.0,26.0,PP_RS00565,cyoE,heme o synthase,CDS,894
PP_1079,28.0,175.0,177.0,PP_RS05625,argF,ornithine carbamoyltransferase,CDS,921
PP_1080,30.0,39.0,16.0,PP_RS05630,,molybdopterin-dependent oxidoreductase,CDS,2109
PP_1081,46.0,186.0,219.0,PP_RS05635,grxD,Grx4 family monothiol glutaredoxin,CDS,336
PP_1082,1641.0,1821.0,1683.0,PP_RS05640,bfr,bacterioferritin,CDS,474
PP_1083,1.0,3.0,5.0,PP_RS05645,,bacterioferritin-associated ferredoxin,CDS,219
PP_1084,429.0,1795.0,1902.0,PP_RS05650,,peroxiredoxin,CDS,603
PP_1085,28.0,101.0,68.0,PP_RS05655,rnt,ribonuclease T,CDS,675
PP_1086,87.0,237.0,255.0,PP_RS05660,pyrC,dihydroorotase,CDS,1047
PP_1087,47.0,226.0,186.0,PP_RS05665,,OmpA family protein,CDS,942
PP_1088,248.0,557.0,705.0,PP_RS05670,,argininosuccinate synthase,CDS,1218
PP_0111,27.0,87.0,58.0,PP_RS00570,,SCO family protein,CDS,633
PP_1089,14.0,12.0,7.0,PP_RS05675,,hypothetical protein,CDS,483
PP_1090,26.0,53.0,44.0,PP_RS05680,,response regulator transcription factor,CDS,624
PP_1091,27.0,77.0,63.0,PP_RS28265,,PA3496 family putative envelope integrity protein,CDS,177
PP_1092,14.0,45.0,40.0,PP_RS05685,nth,endonuclease III,CDS,639
PP_1093,2.0,3.0,7.0,PP_RS05690,,hypothetical protein,CDS,525
PP_1094,0.0,22.0,25.0,PP_RS05695,,RnfABCDGE type electron transport complex subunit G,CDS,603
PP_1095,8.0,21.0,8.0,PP_RS05700,,RnfABCDGE type electron transport complex subunit D,CDS,972
PP_1096,4.0,7.0,4.0,PP_RS05705,,Rnf-Nqr domain containing protein,CDS,549
PP_1097,167.0,416.0,405.0,PP_RS05710,metG,methionine--tRNA ligase,CDS,2040
PP_1098,15.0,48.0,68.0,PP_RS05715,apbC,iron-sulfur cluster carrier protein ApbC,CDS,1095
PP_0112,89.0,135.0,172.0,PP_RS00575,,MetQ/NlpA family ABC transporter substrate-binding protein,CDS,771
PP_1099,200.0,871.0,936.0,PP_RS05720,,cold-shock protein,CDS,210
PP_1100,57.0,175.0,170.0,PP_RS05725,dcd,dCTP deaminase,CDS,567
PP_1101,4.0,24.0,30.0,PP_RS05730,,hypothetical protein,CDS,228
PP_1102,8.0,7.0,18.0,PP_RS05735,pdeM,ligase-associated DNA damage response endonuclease PdeM,CDS,651
PP_1103,24.0,29.0,15.0,PP_RS05740,,ligase-associated DNA damage response DEXH box helicase,CDS,2451
PP_1104,29.0,42.0,50.0,PP_RS05745,,succinylglutamate desuccinylase/aspartoacylase family protein,CDS,1116
PP_1105,18.0,20.0,14.0,PP_RS05750,,ATP-dependent DNA ligase,CDS,1659
PP_1106,16.0,8.0,16.0,PP_RS05755,,ligase-associated DNA damage response exonuclease,CDS,1017
PP_1108,29.0,88.0,79.0,PP_RS05760,,penicillin acylase family protein,CDS,2442
PP_1109,42.0,76.0,70.0,PP_RS05765,,PLP-dependent aminotransferase family protein,CDS,1341
PP_0113,12.0,37.0,66.0,PP_RS00580,,methionine ABC transporter permease,CDS,672
PP_1110,53.0,66.0,33.0,PP_RS05770,,serine O-acetyltransferase,CDS,714
PP_1111,331.0,261.0,110.0,PP_RS05775,,alanyl-tRNA editing protein,CDS,789
PP_1112,32.0,40.0,34.0,PP_RS05780,,MFS transporter,CDS,1212
PP_1113,102.0,130.0,89.0,PP_RS05785,,pyridoxal-phosphate dependent enzyme,CDS,903
PP_1114,55.0,115.0,119.0,PP_RS05790,,SEC-C metal-binding domain-containing protein,CDS,198
PP_1115,12.0,20.0,42.0,PP_RS05795,,LEA type 2 family protein,CDS,474
PP_5462,134.0,95.0,116.0,PP_RS28495,,hypothetical protein,CDS,237
PP_5464,46.0,65.0,46.0,PP_RS05800,,hypothetical protein,CDS,438
PP_1116,76.0,196.0,124.0,PP_RS05805,,recombinase family protein,CDS,711
PP_1117,29.0,35.0,28.0,PP_RS05810,,hypothetical protein,CDS,1260
PP_0114,16.0,65.0,61.0,PP_RS00585,,methionine ABC transporter ATP-binding protein,CDS,1008
PP_5742,221.0,138.0,115.0,PP_RS05815,,hypothetical protein,CDS,573
PP_1118,189.0,296.0,336.0,PP_RS05820,,recombinase family protein,CDS,1692
PP_1119,5.0,27.0,24.0,PP_RS05825,,YchJ family protein,CDS,480
PP_1120,9.0,46.0,39.0,PP_RS05830,,DUF6231 family protein,CDS,495
PP_1121,58.0,159.0,247.0,PP_RS05835,,OmpA family protein,CDS,693
PP_1122,24.0,65.0,83.0,PP_RS05840,,OmpA family protein,CDS,720
PP_1123,7.0,17.0,18.0,PP_RS05845,,DUF1145 domain-containing protein,CDS,276
PP_1124,7.0,24.0,20.0,PP_RS05850,,CopD family protein,CDS,465
PP_1125,55.0,80.0,115.0,PP_RS05855,dinG,ATP-dependent DNA helicase DinG,CDS,2145
PP_1126,37.0,106.0,93.0,PP_RS05860,,beta-galactosidase,CDS,2235
PP_0115,79.0,85.0,71.0,PP_RS00590,katE,catalase HPII,CDS,2136
PP_1127,19.0,54.0,35.0,PP_RS05865,,EstA family serine hydrolase,CDS,1146
PP_1128,91.0,222.0,176.0,PP_RS05870,,OmpA family protein,CDS,978
PP_1129,24.0,92.0,103.0,PP_RS05875,pdxH,pyridoxamine 5'-phosphate oxidase,CDS,648
PP_1130,17.0,73.0,57.0,PP_RS05880,,hypothetical protein,CDS,234
PP_1131,26.0,93.0,115.0,PP_RS05885,,glycine zipper 2TM domain-containing protein,CDS,465
PP_1132,10.0,30.0,22.0,PP_RS05890,nhaA,Na+/H+ antiporter NhaA,CDS,1194
PP_1133,38.0,40.0,18.0,PP_RS05895,,IS110-like element ISPpu9 family transposase,CDS,1329
PP_1134,41.0,102.0,142.0,PP_RS05900,,NAD(P)/FAD-dependent oxidoreductase,CDS,1608
PP_1135,13.0,22.0,26.0,PP_RS05905,,COG3650 family protein,CDS,675
PP_1136,30.0,67.0,34.0,PP_RS05910,,hypothetical protein,CDS,1302
PP_0116,26.0,29.0,65.0,PP_RS00595,,PA5502 family lipoprotein,CDS,708
PP_1137,36.0,95.0,66.0,PP_RS05915,,ABC transporter ATP-binding protein,CDS,702
PP_1138,37.0,93.0,81.0,PP_RS05920,livG,high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivG,CDS,768
PP_1139,18.0,73.0,68.0,PP_RS05925,,high-affinity branched-chain amino acid ABC transporter permease LivM,CDS,1257
PP_1140,50.0,69.0,80.0,PP_RS05930,livH,high-affinity branched-chain amino acid ABC transporter permease LivH,CDS,924
PP_1141,272.0,497.0,577.0,PP_RS05935,,branched-chain amino acid ABC transporter substrate-binding protein,CDS,1116
PP_1142,18.0,23.0,8.0,PP_RS05940,,DUF2288 domain-containing protein,CDS,312
PP_1143,5.0,10.0,16.0,PP_RS05945,,NAD(P)-dependent oxidoreductase,CDS,888
PP_1144,80.0,38.0,58.0,PP_RS05950,,bifunctional diguanylate cyclase/phosphodiesterase,CDS,2265
PP_1145,58.0,220.0,252.0,PP_RS05955,rapA,RNA polymerase-associated protein RapA,CDS,2847
PP_1146,66.0,168.0,160.0,PP_RS05960,,M949_RS01915 family surface polysaccharide biosynthesis protein,CDS,696
PP_0012,92.0,299.0,226.0,PP_RS00060,recF,DNA replication/repair protein RecF,CDS,1104
PP_0117,7.0,26.0,8.0,PP_RS00600,znuB,zinc ABC transporter permease subunit ZnuB,CDS,783
PP_1147,12.0,51.0,40.0,PP_RS05965,,hypothetical protein,CDS,330
PP_1148,48.0,129.0,95.0,PP_RS28270,,hypothetical protein,CDS,162
PP_1149,161.0,828.0,329.0,PP_RS28830,ccoM,cytochrome c oxidase subunit CcoM,CDS,117
PP_1150,22.0,34.0,42.0,PP_RS05970,,FUSC family protein,CDS,1989
PP_1151,4.0,6.0,0.0,PP_RS05975,,DUF1656 domain-containing protein,CDS,207
PP_1152,32.0,39.0,25.0,PP_RS05980,,HlyD family secretion protein,CDS,870
PP_1153,24.0,93.0,169.0,PP_RS05985,,DUF2025 family protein,CDS,339
PP_1154,57.0,96.0,154.0,PP_RS05990,,EAL domain-containing protein,CDS,2586
PP_1155,11.0,48.0,69.0,PP_RS05995,,diguanylate cyclase,CDS,1074
PP_1156,29.0,48.0,19.0,PP_RS06000,,formate/nitrite transporter family protein,CDS,897
PP_0118,14.0,35.0,21.0,PP_RS00605,znuC,zinc ABC transporter ATP-binding protein ZnuC,CDS,774
PP_16SE,8538000.0,7774473.0,6993574.0,PP_RS06005,,16S ribosomal RNA,rRNA,1537
PP_23SE,12857880.0,15249819.0,13861912.0,PP_RS06010,,23S ribosomal RNA,rRNA,2893
PP_5SE,26.0,460.0,291.0,PP_RS06015,rrf,5S ribosomal RNA,rRNA,116
PP_1157,33.0,118.0,86.0,PP_RS06020,,acetolactate synthase large subunit,CDS,1644
PP_1158,21.0,10.0,13.0,PP_RS06025,,nitrilase family protein,CDS,896
PP_1159,27.0,24.0,9.0,PP_RS06030,,hypothetical protein,CDS,1155
PP_1160,21.0,24.0,34.0,PP_RS06035,,asparaginase,CDS,990
PP_1161,36.0,71.0,48.0,PP_RS06040,,UPF0149 family protein,CDS,552
PP_1162,8.0,29.0,15.0,PP_RS06045,,glutathione S-transferase family protein,CDS,630
PP_1163,32.0,35.0,48.0,PP_RS06050,,pyridoxamine 5'-phosphate oxidase family protein,CDS,2037
PP_0119,3.0,10.0,22.0,PP_RS00610,zur,zinc uptake transcriptional repressor Zur,CDS,486
PP_1164,10.0,28.0,28.0,PP_RS06055,,LysR family transcriptional regulator,CDS,897
PP_1165,14.0,21.0,14.0,PP_RS06060,,aldose 1-epimerase,CDS,870
PP_1166,3.0,6.0,2.0,PP_RS06065,,EamA family transporter,CDS,924
PP_1167,27.0,12.0,18.0,PP_RS06070,,TRAP transporter large permease,CDS,1281
PP_1168,7.0,2.0,6.0,PP_RS06075,,TRAP transporter small permease,CDS,528
PP_1169,18.0,17.0,18.0,PP_RS06080,,TRAP transporter substrate-binding protein,CDS,972
PP_1170,4.0,1.0,2.0,PP_RS06085,,SMP-30/gluconolactonase/LRE family protein,CDS,882
PP_1171,12.0,14.0,12.0,PP_RS06090,,NAD(P)-dependent oxidoreductase,CDS,807
PP_1173,11.0,5.0,8.0,PP_RS06095,,OprD family porin,CDS,1239
PP_1174,8.0,2.0,1.0,PP_RS28785,,hypothetical protein,CDS,135
PP_0120,23.0,124.0,84.0,PP_RS00615,,zinc ABC transporter substrate-binding protein,CDS,909
PP_1177,269.0,574.0,692.0,PP_RS06105,,ribonucleotide-diphosphate reductase subunit beta,CDS,1251
PP_1178,4.0,12.0,11.0,PP_RS28790,,hypothetical protein,CDS,132
PP_1179,701.0,1786.0,2453.0,PP_RS06110,,ribonucleoside-diphosphate reductase subunit alpha,CDS,2880
PP_1181,0.0,22.0,26.0,PP_RS06115,,response regulator transcription factor,CDS,699
PP_1182,2.0,17.0,14.0,PP_RS06120,,ATP-binding protein,CDS,1608
PP_1183,7.0,22.0,42.0,PP_RS06125,,4'-phosphopantetheinyl transferase,CDS,702
PP_1184,21.0,91.0,131.0,PP_RS06130,,dienelactone hydrolase family protein,CDS,792
PP_1185,31.0,121.0,112.0,PP_RS06135,,outer membrane beta-barrel protein,CDS,606
PP_1186,28.0,59.0,93.0,PP_RS06140,,response regulator,CDS,678
PP_1187,19.0,26.0,11.0,PP_RS06145,,ATP-binding protein,CDS,1347
PP_0121,43.0,143.0,142.0,PP_RS00620,,homoserine kinase,CDS,951
PP_1188,32.0,31.0,61.0,PP_RS06150,,dicarboxylate/amino acid:cation symporter,CDS,1323
PP_1189,6.0,40.0,40.0,PP_RS06155,tsaA,tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO,CDS,693
PP_1190,20.0,43.0,59.0,PP_RS06160,,DUF1456 family protein,CDS,462
PP_1191,39.0,80.0,101.0,PP_RS06165,,rRNA pseudouridine synthase,CDS,711
PP_1192,8.0,16.0,9.0,PP_RS06170,,GNAT family N-acetyltransferase,CDS,456
PP_1193,7.0,8.0,15.0,PP_RS28795,,hypothetical protein,CDS,579
PP_1194,17.0,18.0,18.0,PP_RS06180,,DUF6502 family protein,CDS,846
PP_1195,132.0,178.0,91.0,PP_RS06185,,DUF5666 domain-containing protein,CDS,1719
PP_1196,21.0,36.0,74.0,PP_RS06190,,hypothetical protein,CDS,750
PP_1197,30.0,119.0,128.0,PP_RS06195,rimO,30S ribosomal protein S12 methylthiotransferase RimO,CDS,1332
PP_0122,62.0,125.0,129.0,PP_RS00625,,DUF2782 domain-containing protein,CDS,288
PP_1198,56.0,55.0,75.0,PP_RS06200,,DNA-binding transcriptional regulator,CDS,288
PP_1199,103.0,102.0,92.0,PP_RS06205,,hypothetical protein,CDS,315
PP_1200,33.0,100.0,105.0,PP_RS06210,,potassium transporter Kup,CDS,1911
PP_1201,54.0,78.0,72.0,PP_RS06215,,virulence factor family protein,CDS,1293
PP_1202,41.0,62.0,42.0,PP_RS06220,mprF,bifunctional lysylphosphatidylglycerol flippase/synthetase MprF,CDS,2643
PP_t67,0.0,6.0,2.0,PP_RS06225,,tRNA-Met,tRNA,77
PP_t66,2.0,2.0,2.0,PP_RS06230,,tRNA-Met,tRNA,77
PP_t65,0.0,2.0,2.0,PP_RS06235,,tRNA-Met,tRNA,77
PP_1203,20.0,62.0,70.0,PP_RS06240,dinB,DNA polymerase IV,CDS,1059
