,PPutida_1,PPutida_2,PPutida_4,locus_tag,name,description,type,length
PP_0987,2404,2892,1599,PP_RS05165,,L-serine ammonia-lyase,CDS,1377
PP_0988,22877,22072,13689,PP_RS05170,gcvP,aminomethyl-transferring glycine dehydrogenase,CDS,2856
PP_5426,3403,3268,2102,PP_RS00520,,hypothetical protein,CDS,642
PP_0989,5727,6234,2804,PP_RS05175,gcvH,glycine cleavage system protein GcvH,CDS,384
PP_0990,259,221,180,PP_RS05180,,DoxX family protein,CDS,468
PP_0991,384,444,185,PP_RS05185,,DNA-binding domain-containing protein,CDS,774
PP_0992,599,556,353,PP_RS05190,,DUF692 domain-containing protein,CDS,834
PP_0993,291,282,137,PP_RS05195,,DUF2282 domain-containing protein,CDS,288
PP_0994,1258,1423,537,PP_RS05200,,sigma-70 family RNA polymerase sigma factor,CDS,585
PP_0995,1136,1067,542,PP_RS05205,,DUF1109 domain-containing protein,CDS,642
PP_0996,960,1040,467,PP_RS05210,gltS,sodium/glutamate symporter,CDS,1206
PP_0997,4775,5530,2354,PP_RS05215,,sigma-54-dependent transcriptional regulator,CDS,1509
PP_0998,27609,33574,9622,PP_RS05220,,DUF5064 family protein,CDS,369
PP_0103,3733,4489,2827,PP_RS00525,coxB,cytochrome c oxidase subunit II,CDS,1128
PP_0999,38818,40180,16473,PP_RS05225,arcC,carbamate kinase,CDS,930
PP_1000,110790,127648,38920,PP_RS05230,,ornithine carbamoyltransferase,CDS,1011
PP_1001,103981,110562,40664,PP_RS05235,arcA,arginine deiminase,CDS,1254
PP_1002,42202,50277,23755,PP_RS05240,arcD,arginine-ornithine antiporter,CDS,1428
PP_1003,3023,3242,1761,PP_RS05245,arcD,arginine-ornithine antiporter,CDS,1428
PP_1004,1226,941,597,PP_RS05250,,YbaN family protein,CDS,414
PP_1005,1541,1492,687,PP_RS05255,,biliverdin-producing heme oxygenase,CDS,594
PP_1006,1045,982,607,PP_RS05260,,TonB-dependent receptor,CDS,2589
PP_1007,905,800,720,PP_RS05265,,FecR domain-containing protein,CDS,963
PP_1008,600,890,167,PP_RS05270,,RNA polymerase sigma factor,CDS,513
PP_0104,1314,1986,809,PP_RS00530,ctaD,cytochrome c oxidase subunit I,CDS,1590
PP_1009,34446,38257,16367,PP_RS05275,gap,type I glyceraldehyde-3-phosphate dehydrogenase,CDS,1002
PP_1010,69122,80692,32314,PP_RS05280,edd,phosphogluconate dehydratase,CDS,1827
PP_1011,11885,11285,5149,PP_RS05285,,glucokinase,CDS,960
PP_1012,14853,15696,7610,PP_RS05290,gltR,two-component system response regulator GltR,CDS,726
PP_1013,3333,2585,1982,PP_RS05295,,ATP-binding protein,CDS,1455
PP_1014,29072,27848,15525,PP_RS05300,,AGE family epimerase/isomerase,CDS,1251
PP_1015,101822,103262,43265,PP_RS05305,,ABC transporter substrate-binding protein,CDS,1287
PP_1016,9908,8233,6409,PP_RS05310,,carbohydrate ABC transporter permease,CDS,909
PP_1017,7700,6573,4824,PP_RS05315,,carbohydrate ABC transporter permease,CDS,846
PP_1018,8539,7982,6111,PP_RS05320,ugpC,ABC transporter ATP-binding protein,CDS,1155
PP_0105,471,460,346,PP_RS00535,,cytochrome c oxidase assembly protein,CDS,567
PP_1019,14578,13932,11975,PP_RS05325,,carbohydrate porin,CDS,1344
PP_1020,11667,10693,7270,PP_RS05330,,D-hexose-6-phosphate mutarotase,CDS,855
PP_1021,11780,12285,6650,PP_RS05335,hexR,DNA-binding transcriptional regulator HexR,CDS,864
PP_1022,109720,126850,59718,PP_RS05340,zwf,glucose-6-phosphate dehydrogenase,CDS,1470
PP_1023,40513,38869,17408,PP_RS05345,pgl,6-phosphogluconolactonase,CDS,714
PP_1024,55129,49461,21756,PP_RS05350,,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase,CDS,681
PP_1025,27877,34150,11919,PP_RS05355,leuA,2-isopropylmalate synthase,CDS,1674
PP_1026,1789,1772,1264,PP_RS05360,,M23 family metallopeptidase,CDS,828
PP_1027,5701,6462,2930,PP_RS05365,xseA,exodeoxyribonuclease VII large subunit,CDS,1380
PP_1028,320,340,191,PP_RS05370,,LysR family transcriptional regulator,CDS,879
PP_0106,1132,1318,715,PP_RS00540,,cytochrome c oxidase subunit 3,CDS,888
PP_1029,235,287,134,PP_RS05375,,sulfite exporter TauE/SafE family protein,CDS,756
PP_1030,3057,3309,1319,PP_RS05380,,hypothetical protein,CDS,558
PP_1031,92387,95570,41542,PP_RS05385,guaB,IMP dehydrogenase,CDS,1470
PP_1032,30718,23974,14018,PP_RS05390,guaA,glutamine-hydrolyzing GMP synthase,CDS,1578
PP_1033,1826,2129,1121,PP_RS05395,,LTA synthase family protein,CDS,1887
PP_1034,2501,2408,1746,PP_RS05400,,multicopper oxidase family protein,CDS,1380
PP_1035,511,378,324,PP_RS05405,tadA,tRNA adenosine(34) deaminase TadA,CDS,480
PP_1036,6467,6749,3786,PP_RS05410,mltF,membrane-bound lytic murein transglycosylase MltF,CDS,1458
PP_1037,61340,52670,30288,PP_RS05415,purL,phosphoribosylformylglycinamidine synthase,CDS,3900
PP_1038,1038,1210,579,PP_RS05420,,YqfO family protein,CDS,312
PP_5427,842,895,653,PP_RS00545,,twin transmembrane helix small protein,CDS,204
PP_1039,106,86,83,PP_RS05425,tatC,twin-arginine translocase subunit TatC,CDS,762
PP_1040,62,81,13,PP_RS05430,tatB,Sec-independent protein translocase protein TatB,CDS,291
PP_1041,19,15,4,PP_RS05435,tatA,twin-arginine translocase TatA/TatE family subunit,CDS,234
PP_1042,107,96,34,PP_RS05440,gspK,type II secretion system minor pseudopilin GspK,CDS,966
PP_1043,804,695,262,PP_RS05445,,PhoX family phosphatase,CDS,2076
PP_1044,153,145,95,PP_RS05450,,lipoprotein UxpA,CDS,1641
PP_1045,19,19,7,PP_RS05455,,pilus assembly protein PilZ,CDS,426
PP_1046,267,328,129,PP_RS05460,gspD,type II secretion system secretin GspD,CDS,1737
PP_1047,106,90,49,PP_RS05465,,GspE/PulE family protein,CDS,1449
PP_1048,51,41,23,PP_RS05470,gspF,type II secretion system inner membrane protein GspF,CDS,1203
PP_0011,21714,19138,8769,PP_RS00055,dnaN,DNA polymerase III subunit beta,CDS,1104
PP_0107,458,399,375,PP_RS00550,,SURF1 family protein,CDS,738
PP_1049,61,82,12,PP_RS05475,gspG,type II secretion system major pseudopilin GspG,CDS,435
PP_1050,25,44,12,PP_RS05480,gspH,type II secretion system minor pseudopilin GspH,CDS,432
PP_1051,45,41,20,PP_RS05485,,type II secretion system protein GspI,CDS,369
PP_1052,110,164,51,PP_RS05490,,prepilin-type N-terminal cleavage/methylation domain-containing protein,CDS,591
PP_1053,62,99,46,PP_RS05495,,type II secretion system protein GspL,CDS,1077
PP_1054,17,12,6,PP_RS05500,gspM,type II secretion system protein GspM,CDS,387
PP_1055,190,177,101,PP_RS05505,,general secretion pathway protein GspN,CDS,663
PP_1056,811,753,753,PP_RS05510,,siderophore-interacting protein,CDS,762
PP_1057,998,774,575,PP_RS05515,,PadR family transcriptional regulator,CDS,546
PP_1058,3898,4372,2387,PP_RS05520,,transglycosylase domain-containing protein,CDS,3150
PP_0108,205,162,181,PP_RS00555,,hypothetical protein,CDS,582
PP_1059,5816,6610,2884,PP_RS05525,,amino acid permease,CDS,1419
PP_1060,2921,3483,1395,PP_RS05530,,FMN-binding glutamate synthase family protein,CDS,1620
PP_1061,2426,2537,1310,PP_RS05535,,DEAD/DEAH box helicase,CDS,4305
PP_1062,809,786,351,PP_RS05540,,NUDIX domain-containing protein,CDS,414
PP_1063,2284,2120,1518,PP_RS05545,metR,transcriptional regulator MetR,CDS,918
PP_1064,321,270,159,PP_RS05550,,alpha/beta fold hydrolase,CDS,996
PP_1065,273,205,140,PP_RS05555,,GlpM family protein,CDS,336
PP_1066,2606,3007,1439,PP_RS05560,,sigma-54 dependent transcriptional regulator,CDS,1329
PP_1067,1512,1602,812,PP_RS05565,,ATP-binding protein,CDS,1905
PP_1068,1744,1603,1069,PP_RS05570,,amino acid ABC transporter ATP-binding protein,CDS,735
PP_0109,356,336,281,PP_RS00560,,heme A synthase,CDS,1080
PP_1069,1971,1941,941,PP_RS05575,,amino acid ABC transporter permease,CDS,672
PP_1070,1665,1474,1074,PP_RS05580,,amino acid ABC transporter permease,CDS,747
PP_1071,21516,20844,9789,PP_RS05585,,glutamate/aspartate ABC transporter substrate-binding protein,CDS,918
PP_1072,3112,3291,1563,PP_RS05590,,NEL-type E3 ubiquitin ligase domain-containing protein,CDS,4320
PP_1073,15662,14848,5975,PP_RS05595,glpD,glycerol-3-phosphate dehydrogenase,CDS,1539
PP_1074,4933,5873,1959,PP_RS05600,glpR,DNA-binding transcriptional repressor GlpR,CDS,756
PP_1075,8143,7814,3809,PP_RS05605,glpK,glycerol kinase GlpK,CDS,1500
PP_1076,4334,4579,2248,PP_RS05610,,MIP/aquaporin family protein,CDS,852
PP_1077,2601,2342,1058,PP_RS05615,ybaK,Cys-tRNA(Pro) deacylase,CDS,471
PP_1078,22389,21050,8285,PP_RS05620,,ABC transporter ATP-binding protein,CDS,1110
PP_0110,1017,1359,566,PP_RS00565,cyoE,heme o synthase,CDS,894
PP_1079,29036,34198,13500,PP_RS05625,argF,ornithine carbamoyltransferase,CDS,921
PP_1080,1658,1828,993,PP_RS05630,,molybdopterin-dependent oxidoreductase,CDS,2109
PP_1081,8162,8108,2866,PP_RS05635,grxD,Grx4 family monothiol glutaredoxin,CDS,336
PP_1082,73851,84513,30287,PP_RS05640,bfr,bacterioferritin,CDS,474
PP_1083,1016,949,451,PP_RS05645,,bacterioferritin-associated ferredoxin,CDS,219
PP_1084,76681,85909,34816,PP_RS05650,,peroxiredoxin,CDS,603
PP_1085,3827,3696,1634,PP_RS05655,rnt,ribonuclease T,CDS,675
PP_1086,14835,19988,6493,PP_RS05660,pyrC,dihydroorotase,CDS,1047
PP_1087,10827,13936,7572,PP_RS05665,,OmpA family protein,CDS,942
PP_1088,59512,52610,24582,PP_RS05670,,argininosuccinate synthase,CDS,1218
PP_0111,2678,2805,1114,PP_RS00570,,SCO family protein,CDS,633
PP_1089,302,396,141,PP_RS05675,,hypothetical protein,CDS,483
PP_1090,1455,1642,624,PP_RS05680,,response regulator transcription factor,CDS,624
PP_1091,2945,3780,1047,PP_RS28265,,PA3496 family putative envelope integrity protein,CDS,177
PP_1092,1048,1041,495,PP_RS05685,nth,endonuclease III,CDS,639
PP_1093,338,241,132,PP_RS05690,,hypothetical protein,CDS,525
PP_1094,550,494,405,PP_RS05695,,RnfABCDGE type electron transport complex subunit G,CDS,603
PP_1095,401,383,212,PP_RS05700,,RnfABCDGE type electron transport complex subunit D,CDS,972
PP_1096,3535,3302,1412,PP_RS05705,,Rnf-Nqr domain containing protein,CDS,549
PP_1097,27392,30678,13104,PP_RS05710,metG,methionine--tRNA ligase,CDS,2040
PP_1098,2953,2810,1502,PP_RS05715,apbC,iron-sulfur cluster carrier protein ApbC,CDS,1095
PP_0112,4744,4494,2189,PP_RS00575,,MetQ/NlpA family ABC transporter substrate-binding protein,CDS,771
PP_1099,225190,221383,82114,PP_RS05720,,cold-shock protein,CDS,210
PP_1100,25821,30975,7749,PP_RS05725,dcd,dCTP deaminase,CDS,567
PP_1101,370,302,172,PP_RS05730,,hypothetical protein,CDS,228
PP_1102,1213,1641,566,PP_RS05735,pdeM,ligase-associated DNA damage response endonuclease PdeM,CDS,651
PP_1103,686,706,419,PP_RS05740,,ligase-associated DNA damage response DEXH box helicase,CDS,2451
PP_1104,3893,8235,2206,PP_RS05745,,succinylglutamate desuccinylase/aspartoacylase family protein,CDS,1116
PP_1105,285,297,130,PP_RS05750,,ATP-dependent DNA ligase,CDS,1659
PP_1106,572,625,251,PP_RS05755,,ligase-associated DNA damage response exonuclease,CDS,1017
PP_1108,5376,4680,2994,PP_RS05760,,penicillin acylase family protein,CDS,2442
PP_1109,2519,5152,2631,PP_RS05765,,PLP-dependent aminotransferase family protein,CDS,1341
PP_0113,3747,4162,1976,PP_RS00580,,methionine ABC transporter permease,CDS,672
PP_1110,23721,5810,2582,PP_RS05770,,serine O-acetyltransferase,CDS,714
PP_1111,24971,13152,7939,PP_RS05775,,alanyl-tRNA editing protein,CDS,789
PP_1112,13751,6279,5240,PP_RS05780,,MFS transporter,CDS,1212
PP_1113,5986,5303,5146,PP_RS05785,,pyridoxal-phosphate dependent enzyme,CDS,903
PP_1114,985,855,462,PP_RS05790,,SEC-C metal-binding domain-containing protein,CDS,198
PP_1115,853,777,748,PP_RS05795,,LEA type 2 family protein,CDS,474
PP_5462,2428,5133,1337,PP_RS28495,,hypothetical protein,CDS,237
PP_5464,1472,1568,924,PP_RS05800,,hypothetical protein,CDS,438
PP_1116,8000,10501,3198,PP_RS05805,,recombinase family protein,CDS,711
PP_1117,705,902,380,PP_RS05810,,hypothetical protein,CDS,1260
PP_0114,7635,8225,3234,PP_RS00585,,methionine ABC transporter ATP-binding protein,CDS,1008
PP_5742,2173,3263,688,PP_RS05815,,hypothetical protein,CDS,573
PP_1118,9451,11567,4668,PP_RS05820,,recombinase family protein,CDS,1692
PP_1119,1365,1574,1011,PP_RS05825,,YchJ family protein,CDS,480
PP_1120,3219,3905,1409,PP_RS05830,,DUF6231 family protein,CDS,495
PP_1121,2118,2212,1292,PP_RS05835,,OmpA family protein,CDS,693
PP_1122,1252,1226,1000,PP_RS05840,,OmpA family protein,CDS,720
PP_1123,635,791,271,PP_RS05845,,DUF1145 domain-containing protein,CDS,276
PP_1124,759,631,381,PP_RS05850,,CopD family protein,CDS,465
PP_1125,8186,8072,4227,PP_RS05855,dinG,ATP-dependent DNA helicase DinG,CDS,2145
PP_1126,2318,2155,1337,PP_RS05860,,beta-galactosidase,CDS,2235
PP_0115,1926,2493,821,PP_RS00590,katE,catalase HPII,CDS,2136
PP_1127,7226,6836,3458,PP_RS05865,,EstA family serine hydrolase,CDS,1146
PP_1128,5833,6074,3753,PP_RS05870,,OmpA family protein,CDS,978
PP_1129,4500,5021,2442,PP_RS05875,pdxH,pyridoxamine 5'-phosphate oxidase,CDS,648
PP_1130,3627,7278,1875,PP_RS05880,,hypothetical protein,CDS,234
PP_1131,3303,3442,1416,PP_RS05885,,glycine zipper 2TM domain-containing protein,CDS,465
PP_1132,1160,1617,541,PP_RS05890,nhaA,Na+/H+ antiporter NhaA,CDS,1194
PP_1133,963,1022,370,PP_RS05895,,IS110-like element ISPpu9 family transposase,CDS,1329
PP_1134,19514,19933,9019,PP_RS05900,,NAD(P)/FAD-dependent oxidoreductase,CDS,1608
PP_1135,982,880,544,PP_RS05905,,COG3650 family protein,CDS,675
PP_1136,1115,1682,438,PP_RS05910,,hypothetical protein,CDS,1302
PP_0116,3378,3458,1621,PP_RS00595,,PA5502 family lipoprotein,CDS,708
PP_1137,1431,1217,874,PP_RS05915,,ABC transporter ATP-binding protein,CDS,702
PP_1138,2163,2613,939,PP_RS05920,livG,high-affinity branched-chain amino acid ABC transporter ATP-binding protein LivG,CDS,768
PP_1139,3989,3192,2347,PP_RS05925,,high-affinity branched-chain amino acid ABC transporter permease LivM,CDS,1257
PP_1140,4899,4785,2095,PP_RS05930,livH,high-affinity branched-chain amino acid ABC transporter permease LivH,CDS,924
PP_1141,34555,42802,11951,PP_RS05935,,branched-chain amino acid ABC transporter substrate-binding protein,CDS,1116
PP_1142,959,875,362,PP_RS05940,,DUF2288 domain-containing protein,CDS,312
PP_1143,1825,1588,953,PP_RS05945,,NAD(P)-dependent oxidoreductase,CDS,888
PP_1144,1780,1917,1078,PP_RS05950,,bifunctional diguanylate cyclase/phosphodiesterase,CDS,2265
PP_1145,17885,14553,8364,PP_RS05955,rapA,RNA polymerase-associated protein RapA,CDS,2847
PP_1146,2793,3567,1729,PP_RS05960,,M949_RS01915 family surface polysaccharide biosynthesis protein,CDS,696
PP_0012,5726,5276,3311,PP_RS00060,recF,DNA replication/repair protein RecF,CDS,1104
PP_0117,1725,1308,869,PP_RS00600,znuB,zinc ABC transporter permease subunit ZnuB,CDS,783
PP_1147,862,902,476,PP_RS05965,,hypothetical protein,CDS,330
PP_1148,530,579,156,PP_RS28270,,hypothetical protein,CDS,162
PP_1149,34274,36448,23594,PP_RS28830,ccoM,cytochrome c oxidase subunit CcoM,CDS,117
PP_1150,3188,4746,1447,PP_RS05970,,FUSC family protein,CDS,1989
PP_1151,250,185,105,PP_RS05975,,DUF1656 domain-containing protein,CDS,207
PP_1152,1145,939,479,PP_RS05980,,HlyD family secretion protein,CDS,870
PP_1153,8781,8857,3142,PP_RS05985,,DUF2025 family protein,CDS,339
PP_1154,6140,7565,2307,PP_RS05990,,EAL domain-containing protein,CDS,2586
PP_1155,1759,1959,1019,PP_RS05995,,diguanylate cyclase,CDS,1074
PP_1156,1486,1222,636,PP_RS06000,,formate/nitrite transporter family protein,CDS,897
PP_0118,3786,4120,2457,PP_RS00605,znuC,zinc ABC transporter ATP-binding protein ZnuC,CDS,774
PP_1157,8103,6943,3417,PP_RS06020,,acetolactate synthase large subunit,CDS,1644
PP_1158,342,378,361,PP_RS06025,,nitrilase family protein,CDS,896
PP_1159,739,1017,493,PP_RS06030,,hypothetical protein,CDS,1155
PP_1160,2302,2514,814,PP_RS06035,,asparaginase,CDS,990
PP_1161,3117,4582,1528,PP_RS06040,,UPF0149 family protein,CDS,552
PP_1162,540,656,357,PP_RS06045,,glutathione S-transferase family protein,CDS,630
PP_1163,537,473,364,PP_RS06050,,pyridoxamine 5'-phosphate oxidase family protein,CDS,2037
PP_0119,5191,5972,3211,PP_RS00610,zur,zinc uptake transcriptional repressor Zur,CDS,486
PP_1164,2109,2231,918,PP_RS06055,,LysR family transcriptional regulator,CDS,897
PP_1165,414,456,228,PP_RS06060,,aldose 1-epimerase,CDS,870
PP_1166,824,1011,324,PP_RS06065,,EamA family transporter,CDS,924
PP_1167,992,1102,576,PP_RS06070,,TRAP transporter large permease,CDS,1281
PP_1168,156,153,80,PP_RS06075,,TRAP transporter small permease,CDS,528
PP_1169,135,172,72,PP_RS06080,,TRAP transporter substrate-binding protein,CDS,972
PP_1170,152,195,71,PP_RS06085,,SMP-30/gluconolactonase/LRE family protein,CDS,882
PP_1171,329,416,122,PP_RS06090,,NAD(P)-dependent oxidoreductase,CDS,807
PP_1173,151,189,80,PP_RS06095,,OprD family porin,CDS,1239
PP_1174,114,119,62,PP_RS28785,,hypothetical protein,CDS,135
PP_0120,3588,3464,2346,PP_RS00615,,zinc ABC transporter substrate-binding protein,CDS,909
PP_1177,30368,31904,15280,PP_RS06105,,ribonucleotide-diphosphate reductase subunit beta,CDS,1251
PP_1178,92,39,42,PP_RS28790,,hypothetical protein,CDS,132
PP_1179,139271,136753,85236,PP_RS06110,,ribonucleoside-diphosphate reductase subunit alpha,CDS,2880
PP_1181,644,678,364,PP_RS06115,,response regulator transcription factor,CDS,699
PP_1182,534,712,357,PP_RS06120,,ATP-binding protein,CDS,1608
PP_1183,1413,1396,695,PP_RS06125,,4'-phosphopantetheinyl transferase,CDS,702
PP_1184,1485,1632,1024,PP_RS06130,,dienelactone hydrolase family protein,CDS,792
PP_1185,6365,7435,3726,PP_RS06135,,outer membrane beta-barrel protein,CDS,606
PP_1186,802,580,411,PP_RS06140,,response regulator,CDS,678
PP_1187,982,1099,502,PP_RS06145,,ATP-binding protein,CDS,1347
PP_0121,14958,15329,8541,PP_RS00620,,homoserine kinase,CDS,951
PP_1188,4551,3824,1512,PP_RS06150,,dicarboxylate/amino acid:cation symporter,CDS,1323
PP_1189,1994,1844,985,PP_RS06155,tsaA,tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO,CDS,693
PP_1190,4830,5270,2070,PP_RS06160,,DUF1456 family protein,CDS,462
PP_1191,2851,2644,1623,PP_RS06165,,rRNA pseudouridine synthase,CDS,711
PP_1192,485,555,265,PP_RS06170,,GNAT family N-acetyltransferase,CDS,456
PP_1193,150,167,81,PP_RS28795,,hypothetical protein,CDS,579
PP_1194,853,877,370,PP_RS06180,,DUF6502 family protein,CDS,846
PP_1195,1104,2078,571,PP_RS06185,,DUF5666 domain-containing protein,CDS,1719
PP_1196,1416,1881,700,PP_RS06190,,hypothetical protein,CDS,750
PP_1197,14856,13990,7983,PP_RS06195,rimO,30S ribosomal protein S12 methylthiotransferase RimO,CDS,1332
PP_0122,11267,12830,4032,PP_RS00625,,DUF2782 domain-containing protein,CDS,288
PP_1198,17482,36226,8897,PP_RS06200,,DNA-binding transcriptional regulator,CDS,288
PP_1199,3495,4511,1922,PP_RS06205,,hypothetical protein,CDS,315
PP_1200,2678,2519,1931,PP_RS06210,,potassium transporter Kup,CDS,1911
PP_1201,1661,1418,954,PP_RS06215,,virulence factor family protein,CDS,1293
PP_1202,2532,2659,1360,PP_RS06220,mprF,bifunctional lysylphosphatidylglycerol flippase/synthetase MprF,CDS,2643
PP_1203,4352,6330,1695,PP_RS06240,dinB,DNA polymerase IV,CDS,1059
PP_1204,4059,3946,1902,PP_RS06245,,hypothetical protein,CDS,954
PP_0123,11412,10919,4744,PP_RS00630,polA,DNA polymerase I,CDS,2748
PP_1205,38641,42014,16442,PP_RS06250,,proline--tRNA ligase,CDS,1716
PP_1206,94618,93707,34701,PP_RS06255,,OprD family porin,CDS,1266
PP_1207,1561,1237,679,PP_RS06260,,HIT domain-containing protein,CDS,420
PP_1208,723,688,293,PP_RS06265,,SlyX family protein,CDS,207
PP_1209,13526,21568,9902,PP_RS28835,,cold-shock protein,CDS,594
PP_1210,18414,23424,7928,PP_RS06275,,Dps family protein,CDS,474
PP_1211,3251,3585,1717,PP_RS06280,,ribbon-helix-helix domain-containing protein,CDS,330
PP_1212,5354,4828,2111,PP_RS06285,,FmdB family zinc ribbon protein,CDS,222
PP_1213,103510,108031,53070,PP_RS06290,aspS,aspartate--tRNA ligase,CDS,1776
PP_1214,11495,10464,7002,PP_RS06295,,YebC/PmpR family DNA-binding transcriptional regulator,CDS,747
PP_0124,10666,12193,5860,PP_RS00635,yihA,ribosome biogenesis GTP-binding protein YihA/YsxC,CDS,633
PP_1215,955,695,560,PP_RS06300,ruvC,crossover junction endodeoxyribonuclease RuvC,CDS,525
PP_1216,3600,3535,2143,PP_RS06305,ruvA,Holliday junction branch migration protein RuvA,CDS,618
PP_1217,5867,5683,2944,PP_RS06310,ruvB,Holliday junction branch migration DNA helicase RuvB,CDS,1047
PP_1218,7333,6468,2742,PP_RS06315,ybgC,tol-pal system-associated acyl-CoA thioesterase,CDS,453
PP_1219,14821,15664,6315,PP_RS06320,tolQ,protein TolQ,CDS,696
PP_1220,1725,1444,1150,PP_RS06325,tolR,protein TolR,CDS,453
PP_1221,3001,3224,1555,PP_RS06330,tolA,cell envelope integrity protein TolA,CDS,1119
PP_1222,9314,8593,5719,PP_RS06335,tolB,Tol-Pal system beta propeller repeat protein TolB,CDS,1272
PP_1223,40416,35132,25396,PP_RS06340,pal,peptidoglycan-associated lipoprotein Pal,CDS,501
PP_1224,22001,21296,11363,PP_RS06345,ybgF,tol-pal system protein YbgF,CDS,807
PP_0125,13920,12106,5785,PP_RS00640,,cytochrome c5 family protein,CDS,303
PP_1225,6425,7681,3188,PP_RS06350,queE,7-carboxy-7-deazaguanine synthase QueE,CDS,648
PP_1226,5317,5216,2622,PP_RS06355,queC,7-cyano-7-deazaguanine synthase QueC,CDS,675
PP_1227,743,891,384,PP_RS06365,,cation diffusion facilitator family transporter,CDS,960
PP_1228,499,612,167,PP_RS06370,mcpU,methyl-accepting chemotaxis protein McpU,CDS,2067
