,PPutida_1,PPutida_2,PPutida_4,PPutida_1_rna,PPutida_2_rna,PPutida_4_rna,PPutida_1_te,PPutida_2_te,PPutida_4_te,predicted,locus_tag,name,description,type,length,subsystem
PP_0954,227.44454762329744,199.61198181332426,182.5145527702114,546.5385513780255,515.7503945935131,514.7391299728109,0.41615462815903054,0.38703214559951576,0.35457679850345164,14.136362678019143,PP_RS05010,lptA,lipopolysaccharide transport periplasmic protein LptA,CDS,525.0,Metabolic:S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis
PP_0955,510.990686795317,543.8482197366661,374.8434650328198,832.280698571516,303.44796923282126,351.81711177040745,0.613964360428345,1.7922288987849417,1.0654497819805853,14.136362678019143,PP_RS05015,lptC,LPS export ABC transporter periplasmic protein LptC,CDS,573.0,Metabolic:S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis
PP_0956,191.24828267449539,127.3119602589106,223.50712611967066,68.0338445698787,70.02645443834336,59.029716740001255,2.811075632776582,1.818055208992564,3.786349290885415,113.09090142415316,PP_RS05020,,HAD family hydrolase,CDS,525.0,Metabolic:S_Cell_Envelope_Biosynthesis
PP_0099,17.390969555719657,23.87401917369453,26.189699639932297,74.83722902686657,91.14554387212947,101.53111279280216,0.23238393219337797,0.2619329279244637,0.2579475287873429,,PP_RS00505,,PA0069 family radical SAM protein,CDS,1059.0,
PP_0957,398.7351212594519,343.38878288167933,450.9725298246727,170.08461142469673,200.0755841095525,247.92481030800528,2.3443339048693885,1.7162952911518423,1.818989109094868,113.09090142415316,PP_RS05025,,SIS domain-containing protein,CDS,975.0,Metabolic:S_Cell_Envelope_Biosynthesis
PP_0958,288.7843830141038,221.06470086798282,351.90714423014623,68.0338445698787,104.48391614609965,119.24002781480253,4.244716506025005,2.115777327477547,2.9512501018257917,0.0,PP_RS05030,,ATP-binding cassette domain-containing protein,CDS,810.0,Metabolic:S_Transport__solvent_extrusion
PP_0959,308.1135027913947,246.8999731380965,347.0812989548791,79.37281866485847,76.69564057532845,100.35051845800213,3.881851595725287,3.219217823672752,3.458689643941767,0.0,PP_RS05035,mlaE,lipid asymmetry maintenance ABC transporter permease subunit MlaE,CDS,798.0,Metabolic:S_Transport__solvent_extrusion
PP_0960,219.2466960104356,175.42319362415506,278.2723365468583,149.67445805373313,88.92248182646777,131.04597116280277,1.464823717161722,1.9727653796988418,2.123471130609207,0.0,PP_RS05040,mlaD,outer membrane lipid asymmetry maintenance protein MlaD,CDS,486.0,Metabolic:S_Transport__solvent_extrusion
PP_0961,201.35809328971797,192.323868455026,207.89090770082905,188.22696997666438,394.5935131049508,380.15137580560804,1.0697621776235442,0.48739744082886954,0.5468634889464005,,PP_RS05045,,phospholipid-binding protein MlaC,CDS,648.0,
PP_0962,162.85700105039885,154.1157525766386,174.81488952203256,63.49825493188678,92.25707489496031,69.65506575320148,2.5647476647207403,1.6705033489529963,2.509722554012487,,PP_RS05050,,lipid asymmetry maintenance protein MlaB,CDS,303.0,
PP_0963,94.47172769198917,85.78666321744393,117.82653688938484,90.71179275983826,91.14554387212947,97.98932978840207,1.0414492406969118,0.9412052369537269,1.2024425225054522,,PP_RS05055,,BolA family protein,CDS,240.0,
PP_0964,725.1300950597206,607.1167918470758,719.7558447628599,322.02686429742585,416.82413356156775,537.1704223340114,2.251768953008797,1.4565298478750404,1.3399022262534723,43.11785690797836,PP_RS05060,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,CDS,1266.0,Metabolic:S_Cell_Envelope_Biosynthesis
PP_0965,316.65184025399196,267.3599591439503,304.95004301237935,74.83722902686657,210.07936331503012,233.75767829040495,4.231207440087259,1.272661697584372,1.304556262034438,214.02526643861873,PP_RS05065,hisG,ATP phosphoribosyltransferase,CDS,636.0,Metabolic:S_Histidine_Metabolism
PP_0966,305.520572089563,298.52209167594305,330.5432898654809,68.0338445698787,93.36860591779117,128.68478249320273,4.490714496896581,3.1972426785378443,2.5686276454866803,428.0505328772376,PP_RS05070,hisD,histidinol dehydrogenase,CDS,1326.0,Metabolic:S_Histidine_Metabolism
PP_0100,441.0601315034925,464.52642783704823,292.4245344889335,165.54902178670483,291.221127981682,373.06780979680786,2.6642267453066513,1.595098649114041,0.783837486938911,7201.772189665322,PP_RS00510,,carbonic anhydrase,CDS,720.0,Metabolic:Unassigned
PP_0967,181.6099140050604,164.914751107539,231.85746513530125,56.69487047489891,185.62568081275148,161.74142386760343,3.2032865139971767,0.8884263771341828,1.433507011321309,428.0505328772376,PP_RS05075,hisC,histidinol-phosphate transaminase,CDS,1047.0,Metabolic:S_Histidine_Metabolism
PP_0968,31.088977202769932,33.38972864150584,30.907098953957366,133.79989432076144,50.018896027388124,53.12674506600113,0.2323542732271495,0.667542294880381,0.5817615763126547,,PP_RS05080,,alkaline phosphatase family protein,CDS,1185.0,
PP_0969,42.11548049035724,53.80128864497895,65.3386916482783,6.803384456987869,17.784496365293556,30.69545270480065,6.190371976862153,3.0251792088963603,2.128611435597416,,PP_RS05085,,FadR/GntR family transcriptional regulator,CDS,651.0,
PP_0970,63.56608902369218,56.14994976044383,84.6420727493464,31.74912746594339,53.35348909588067,27.153669700400577,2.0021365655443026,1.0524138291975187,3.117150414041375,0.0,PP_RS05090,,MFS transporter,CDS,1281.0,Metabolic:S_Transport__Inner_Membrane
PP_0971,48.40137310085833,47.45748233310475,46.79443227590387,20.41015337096361,40.015116821910496,54.307339400801155,2.3714360309372426,1.1859888487722505,0.8616594514150245,,PP_RS05095,,nuclear transport factor 2 family protein,CDS,477.0,
PP_0972,18.07194125519061,16.489053810634864,20.008279849140823,11.338974094979783,11.115310228308472,9.444754678400201,1.593789800013017,1.4834542151275762,2.1184541611122,,PP_RS05100,,GIY-YIG nuclease family protein,CDS,342.0,
PP_0973,271.3148398007529,356.39116452090246,222.85645035221893,81.64061348385444,104.48391614609965,95.62814111880203,3.3232827170561277,3.4109667560944157,2.3304484197319795,,PP_RS05105,yejK,nucleoid-associated protein YejK,CDS,1008.0,
PP_0975,339.4643921862688,347.74712309594406,280.3870327910764,95.24738239783018,85.58788875797524,123.96240515400264,3.564028571078108,4.06304125668178,2.2618715121148405,,PP_RS05110,,HU family DNA-binding protein,CDS,282.0,
PP_0976,25.588821168581482,19.951512980856283,24.671456182544915,81.64061348385444,46.684302958895586,35.41783004400075,0.31343249488983843,0.4273709087704086,0.6965829400585734,0.05658462831887371,PP_RS05115,rlmF,23S rRNA (adenine(1618)-N(6))-methyltransferase RlmF,CDS,954.0,Translation
PP_0977,1291.6985490195514,1053.531894793735,1457.4594961112634,437.6844000662196,726.9412889313741,841.7637607124178,2.951209933057069,1.4492668264069293,1.7314353077848803,369.9291231499858,PP_RS05120,,valine--tRNA ligase,CDS,2847.0,Metabolic:S_Valine__Leucine__and_Isoleucine_Metabolism
PP_0101,15.164715922833858,16.852248828490257,16.05000226380944,56.69487047489891,32.23439966209457,35.41783004400075,0.26747950556740197,0.5228032476220533,0.45316164891722577,,PP_RS00515,,SulP family inorganic anion transporter,CDS,1533.0,
PP_0978,44.86555850745147,43.559189141456855,52.43362226048558,15.874563732971694,48.90736500455728,57.84912240520122,2.826254583252897,0.8906468205227971,0.9063857856514564,,PP_RS05125,,hypothetical protein,CDS,366.0,
PP_0979,64.74469388816114,60.48407697351819,56.446122826437936,9.071179275983825,17.784496365293556,8.264160343600176,7.137406495710469,3.400944043124711,6.830230837685792,,PP_RS05130,,DNA polymerase III subunit chi,CDS,429.0,
PP_0980,465.15605317708,420.62825667892633,420.2823227931992,113.38974094979783,227.86385968032366,279.8008573476059,4.102276354816113,1.8459630117256727,1.5020766082609551,0.0,PP_RS05135,,leucyl aminopeptidase,CDS,1494.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism
PP_0982,229.38269784486863,251.5488693666455,295.46102140370823,86.17620312184636,81.14176466665184,128.68478249320273,2.661787007725782,3.100115833073922,2.2960059121156364,14.136362678019143,PP_RS05140,lptF,LPS export ABC transporter permease LptF,CDS,1116.0,Metabolic:S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis
PP_0983,157.04255038568536,164.23678707420893,177.85137643680733,20.41015337096361,58.911144210034905,74.37744309240158,7.694334654491184,2.7878729784751473,2.3912004640419897,14.136362678019143,PP_RS05145,lptG,LPS export ABC transporter permease LptG,CDS,1062.0,Metabolic:S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis
PP_0984,153.48054457306807,175.37476762177434,131.8702888702181,31.74912746594339,35.56899273058711,63.75209407920135,4.834165749521885,4.9305519824564215,2.068485604667217,,PP_RS05150,,RDD family protein,CDS,489.0,
PP_0985,403.1352460868027,424.91395788962,270.78956522116334,308.42009538345013,235.64457684013962,237.29946129480504,1.3070978581521928,1.803198544127243,1.1411301304420258,,PP_RS05155,,cold-shock protein,CDS,210.0,
PP_0986,135.4871769755087,135.01169463744495,162.23515801796572,74.83722902686657,55.57655114154236,154.65785785880328,1.8104248211390723,2.4292924239504745,1.048993955199355,81.20206396025795,PP_RS05160,gcvT,glycine cleavage system aminomethyltransferase GcvT,CDS,1122.0,Metabolic:S_Glycine__Serine_and_threonine_metabolism
PP_0987,62.963690981852494,70.02399944251987,86.70254601294357,79.37281866485847,72.24951648400507,83.82219777080178,0.7932651509795638,0.9691967898224219,1.0343625950970368,0.0,PP_RS05165,,L-serine ammonia-lyase,CDS,1377.0,Metabolic:S_Glycine__Serine_and_threonine_metabolism
PP_0988,599.176521876805,534.4293622736162,742.2583817205656,233.58286635658354,312.34021741546803,360.0812721140077,2.565156131623595,1.7110488258472656,2.061363473203778,81.20206396025795,PP_RS05170,gcvP,aminomethyl-transferring glycine dehydrogenase,CDS,2856.0,Metabolic:S_Glycine__Serine_and_threonine_metabolism
PP_5426,89.12871897306324,79.12808789009506,113.97670526529542,86.17620312184636,75.58410955249761,94.447546784002,1.0342613824264486,1.0468878757529843,1.2067725329696055,,PP_RS00520,,hypothetical protein,CDS,642.0,
PP_0989,149.99711241808205,150.94384942070153,152.04123766122186,97.51517721682612,67.80339239268167,108.61467880160231,1.538192481407912,2.2261990749152187,1.3998221910589392,81.20206396025795,PP_RS05175,gcvH,glycine cleavage system protein GcvH,CDS,384.0,Metabolic:S_Glycine__Serine_and_threonine_metabolism
PP_0990,6.783525775499083,5.3510732630694635,9.760136511776011,58.962665293894865,5.557655114154236,12.986537682800275,0.1150478144379519,0.9628293143706147,0.7515580172460133,,PP_RS05180,,DoxX family protein,CDS,468.0,
PP_0991,10.05742817680173,10.750572528519646,10.0312514148809,9.071179275983825,11.115310228308472,7.08356600880015,1.1087233391394904,0.9671860081007985,1.4161301528663306,,PP_RS05185,,DNA-binding domain-containing protein,CDS,774.0,
PP_0992,15.688540307042281,13.462428661839919,19.14071215920518,34.01692228493935,20.007558410955248,14.1671320176003,0.46119811121149623,0.6728671427728279,1.3510647134103102,,PP_RS05190,,DUF692 domain-containing protein,CDS,834.0,
PP_0993,7.62164479023256,6.828066335681397,7.428548345073964,9.071179275983825,8.892248182646778,28.3342640352006,0.8402044054416449,0.7678672699448906,0.2621754472198477,,PP_RS05195,,DUF2282 domain-containing protein,CDS,288.0,
PP_0994,32.948553766709836,34.45510069388166,29.1177405934651,65.76604975088274,74.47257852966676,62.57149974440133,0.5009963939071402,0.46265486403369516,0.46535148929477993,,PP_RS05200,,sigma-70 family RNA polymerase sigma factor,CDS,585.0,
PP_0995,29.753225023038453,25.835272270113656,29.388855496569988,20.41015337096361,16.672965342462707,15.347726352400326,1.4577658718315518,1.5495307367020303,1.9148670507780903,,PP_RS05205,,DUF1109 domain-containing protein,CDS,642.0,
PP_0996,25.143570442004325,25.181521237973946,25.32213194999665,72.5694342078706,47.79583398172643,41.32080171800088,0.3464760434810907,0.5268559859757126,0.6128180213639317,0.0,PP_RS05210,gltS,sodium/glutamate symporter,CDS,1206.0,Metabolic:S_Transport__Inner_Membrane
PP_0997,125.06307172976109,133.8978965826884,127.64089638178183,58.962665293894865,84.47635773514439,79.09982043160169,2.121055266182318,1.5850339689418609,1.6136685985545827,,PP_RS05215,,sigma-54-dependent transcriptional regulator,CDS,1509.0,
PP_0998,723.1133711805181,812.927301965132,521.7335195350488,430.8810156092317,531.311828913145,829.9578173644176,1.6782205411349882,1.5300380261212356,0.6286265501924494,,PP_RS05220,,DUF5064 family protein,CDS,369.0,
PP_0103,97.77182131250223,108.69216234352409,153.28836621550437,140.6032787777493,78.91870262099015,109.79527313640233,0.6953736937176943,1.3772674756897871,1.3961290120847836,0.07283228867853359,PP_RS00525,coxB,cytochrome c oxidase subunit II,CDS,1128.0,Metabolic:S_Oxidative_Phosphorylation
PP_0999,1016.6907473101292,972.8783878286473,893.2151597693679,1317.5887898366507,1768.4458573238778,2265.560528481248,0.7716297794520355,0.5501318481419993,0.3942579103671743,1109.834341472013,PP_RS05225,arcC,carbamate kinase,CDS,930.0,Metabolic:S_Glutamate_Metabolism
PP_1000,2901.7251763225618,3090.7411759470174,2110.3584057684575,11130.336971632154,7880.754951870707,10493.122447702623,0.26070416230148086,0.39218846351939257,0.20111824828943095,1109.834341472013,PP_RS05230,,ornithine carbamoyltransferase,CDS,1011.0,Metabolic:S_Arginine_and_Proline_Metabolism
PP_1001,2723.389164718804,2677.0378376085346,2204.9232839714427,6388.378005111609,7490.60756285708,9873.31042193261,0.4263036975175398,0.3573859416802039,0.22332158007241598,0.0,PP_RS05235,arcA,arginine deiminase,CDS,1254.0,Metabolic:S_Arginine_and_Proline_Metabolism
PP_1002,1105.3218331181943,1217.3570608477078,1288.0669046513287,478.5047068081468,1267.1453660271657,1449.7698431344309,2.309949760977723,0.9607082924230254,0.8884630279427683,0.0,PP_RS05240,arcD,arginine-ornithine antiporter,CDS,1428.0,Metabolic:S_Transport__Inner_Membrane
PP_1003,79.1760556731032,78.4985498591457,95.48666887354197,56.69487047489891,97.81473000911456,106.25349013200226,1.3965294392577827,0.8025227882531707,0.8986685402513903,0.0,PP_RS05245,arcD,arginine-ornithine antiporter,CDS,1428.0,Metabolic:S_Transport__Inner_Membrane
PP_1004,32.110434751976356,22.784434120128353,32.37111943072377,13.606768913975738,27.78827557077118,29.514858370000628,2.359886829487873,0.8199297600205869,1.0967736665010155,,PP_RS05250,,YbaN family protein,CDS,414.0,
PP_1005,40.360668803259024,36.12579777601647,37.25118768661178,4.5355896379919125,18.896027388124402,41.32080171800088,8.898659716739346,1.9118197192453517,0.9015117359250988,0.0,PP_RS05255,,biliverdin-producing heme oxygenase,CDS,594.0,Metabolic:S_Iron_uptake_and_metabolism
PP_1006,27.369824074890126,23.77716716893309,32.91334923693355,113.38974094979783,53.35348909588067,40.140207383200845,0.2413783102918265,0.4456534628167155,0.8199596211032077,0.0,PP_RS05260,,TonB-dependent receptor,CDS,2589.0,Metabolic:S_Transport__Outer_Membrane
PP_1007,23.70305338543116,19.37040095228765,39.040546047104044,15.874563732971694,12.22684125113932,9.444754678400201,1.4931467588113672,1.5842522655213733,4.133569094853073,,PP_RS05265,,FecR domain-containing protein,CDS,963.0,
PP_1008,15.714731526252702,21.549571059420014,9.0552377637033,4.5355896379919125,16.672965342462707,8.264160343600176,3.464760434810907,1.2924858066211875,1.0957238711753383,,PP_RS05270,,RNA polymerase sigma factor,CDS,513.0,
PP_0104,34.41526204249342,48.08702036405409,43.86639132237108,81.64061348385444,66.69186136985083,103.8923014624022,0.4215458529019936,0.7210328123454152,0.4222294694111284,0.07283228867853359,PP_RS00530,ctaD,cytochrome c oxidase subunit I,CDS,1590.0,Metabolic:S_Oxidative_Phosphorylation
PP_1009,902.1827369221677,926.3167865395859,887.4675238235443,269.8675834605188,663.5840206300157,917.3217981396194,3.3430570850839354,1.3959299165464052,0.9674549603240419,0.0,PP_RS05275,gap,type I glyceraldehyde-3-phosphate dehydrogenase,CDS,1002.0,Metabolic:S_Gluconeogenesis
PP_1010,1810.3894542627322,1953.7954920524942,1752.161395786278,217.70830262361181,745.8373163194984,999.9634015756212,8.315665651909704,2.6196000780625144,1.7522255244796303,17021.507138059787,PP_RS05280,edd,phosphogluconate dehydratase,CDS,1827.0,Metabolic:S_Glycolysis
PP_1011,311.28264031585564,273.2437184332077,279.1941272174149,192.7625596146563,401.2626992419358,395.4991021580084,1.6148501085383382,0.6809596779103037,0.705928599316699,0.0,PP_RS05285,,glucokinase,CDS,960.0,Metabolic:S_Glycolysis
PP_1012,389.01817893238564,380.0472666838837,412.63688252564134,49.89148601791104,114.48769535157726,144.03250884560305,7.797285869431271,3.319546834415756,2.8648871413325945,,PP_RS05290,gltR,two-component system response regulator GltR,CDS,726.0,
PP_1013,87.29533362833376,62.59060807707947,107.46994759077809,36.2847171039353,97.81473000911456,72.01625442280152,2.4058430269218234,0.6398893916207422,1.4923012652092518,,PP_RS05295,,ATP-binding protein,CDS,1455.0,
PP_1014,761.4311248853643,674.2836571491332,841.811774140681,136.0676891397574,345.6861481003935,485.2242716028103,5.595973075601259,1.9505660289092899,1.7348921383507425,0.0,PP_RS05300,,AGE family epimerase/isomerase,CDS,1251.0,Metabolic:S_Alternate_Carbon
PP_1015,2666.8423224435046,2500.282928918909,2345.9572565666062,771.0502384586252,1551.6973078718627,2266.741122816048,3.4587140881697658,1.6113213036040013,1.0349471463473277,0.0,PP_RS05305,,ABC transporter substrate-binding protein,CDS,1287.0,Metabolic:S_Transport__ABC_system
PP_1016,259.50259993685296,199.3456388002303,347.51508279984694,63.49825493188678,52.24195807304982,90.90576377960193,4.086767427155531,3.8158148383620247,3.822805819468015,0.0,PP_RS05310,,carbohydrate ABC transporter permease,CDS,909.0,Metabolic:S_Transport__ABC_system
PP_1017,201.67238792024304,159.15205682423343,261.5716585155971,31.74912746594339,110.04157126025387,127.5041881584027,6.35206079715333,1.4462902973988874,2.0514750322604143,0.0,PP_RS05315,,carbohydrate ABC transporter permease,CDS,846.0,Metabolic:S_Transport__ABC_system
PP_1018,223.64682083778638,193.26817550145003,331.3566345747956,229.0472767185916,264.54438343374164,327.02463073960695,0.9764220908531462,0.7305699444186324,1.0132467203629012,0.0,PP_RS05320,ugpC,ABC transporter ATP-binding protein,CDS,1155.0,Metabolic:S_Transport__ABC_system
PP_0105,12.336064248108372,11.1379805475654,18.761151294858333,36.2847171039353,10.003779205477624,17.708915022000376,0.33997961766582024,1.1133772866025209,1.0594184494956767,0.07283228867853359,PP_RS00535,,cytochrome c oxidase assembly protein,CDS,567.0,Metabolic:S_Oxidative_Phosphorylation
PP_1019,381.8155936495198,337.33553258408944,649.3201929362097,256.2608145465431,422.38178867572196,387.2349418144082,1.4899491922912507,0.7986507506436892,1.6768119888504591,0.0,PP_RS05325,,carbohydrate porin,CDS,1344.0,Metabolic:S_Transport__Outer_Membrane
PP_1020,305.5729545279838,258.9096217285148,394.20106911450887,201.83373889064015,456.8392503834782,315.2186873916067,1.5139835203347882,0.5667411929057802,1.2505637669405676,,PP_RS05330,,D-hexose-6-phosphate mutarotase,CDS,855.0,
PP_1021,308.53256229876143,297.45671962356727,360.58282112950263,63.49825493188678,168.95271547028878,166.46380120680354,4.858914038341963,1.7605915287930165,2.1661335288237145,,PP_RS05335,hexR,DNA-binding transcriptional regulator HexR,CDS,864.0,
PP_1022,2873.700571767411,3071.4192009971107,3238.0879567235547,2029.6763630013809,2316.4306515794856,2501.6793954412533,1.4158417687428406,1.32592754240358,1.2943656819591831,0.0,PP_RS05340,zwf,glucose-6-phosphate dehydrogenase,CDS,1470.0,Metabolic:S_Glycolysis
PP_1023,1061.084863871793,941.1351432680859,943.9136466499823,95.24738239783018,604.6728764199809,736.6908649152157,11.140304721864624,1.556436843736335,1.281288653903175,0.0,PP_RS05345,pgl,6-phosphogluconolactonase,CDS,714.0,Metabolic:S_Glycolysis
PP_1024,1443.8957238513087,1197.5992518763744,1179.6751663899938,603.2334218529245,953.6936175888669,1153.4406650996243,2.393593709407148,1.2557484183486003,1.0227445607599621,51064.52141417936,PP_RS05350,,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase,CDS,681.0,Metabolic:S_Glycolysis
PP_1025,730.132617928911,826.8739906507792,646.2837060214349,718.8909576217181,1007.0471066847475,1049.5483636372223,1.0156375041138135,0.8210876980451215,0.6157731538751878,1075.0822328559282,PP_RS05355,leuA,2-isopropylmalate synthase,CDS,1674.0,Metabolic:S_Valine__Leucine__and_Isoleucine_Metabolism
PP_1026,46.85609116744347,42.905438109317146,68.53784750491599,11.338974094979783,36.68052375341796,20.070103691600423,4.132304278584474,1.1697062560432807,3.4149224417609707,,PP_RS05360,,M23 family metallopeptidase,CDS,828.0,
PP_1027,149.3161407186111,156.4644136921035,158.87333321946505,74.83722902686657,85.58788875797524,114.51765047560244,1.9952120443289878,1.8281139535355564,1.3873261681465638,,PP_RS05365,xseA,exodeoxyribonuclease VII large subunit,CDS,1380.0,
PP_1028,8.381190147334776,8.232420404722252,10.356589298606767,36.2847171039353,16.672965342462707,11.80594334800025,0.2309840289873938,0.49375862275416144,0.8772352190188188,,PP_RS05370,,LysR family transcriptional regulator,CDS,879.0,
PP_0106,29.648460146196765,31.912735568893904,38.76943114399916,81.64061348385444,70.02645443834336,61.3909054096013,0.3631582233524024,0.45572399495096977,0.6315175006025529,0.07283228867853359,PP_RS00540,,cytochrome c oxidase subunit 3,CDS,888.0,Metabolic:S_Oxidative_Phosphorylation
PP_1029,6.154936514448975,6.949131341633195,7.265879403211031,27.213537827951477,10.003779205477624,0.0,0.22617186171682307,0.6946506114237467,inf,,PP_RS05375,,sulfite exporter TauE/SafE family protein,CDS,756.0,
PP_1030,80.06655712625752,80.1208209388998,71.52011143906977,111.12194613080187,163.39506035613454,126.32359382360266,0.7205287516474109,0.49035032493803127,0.5661659019845486,,PP_RS05380,,hypothetical protein,CDS,558.0,
PP_1031,2419.7281691931807,2314.036523762664,2252.5310609566613,616.8401907669003,894.782473378832,982.2544865536208,3.9227796849371956,2.586144222320892,2.293225525352382,1004.8657231802141,PP_RS05385,guaB,IMP dehydrogenase,CDS,1470.0,Metabolic:S_Purine_Metabolism
PP_1032,804.5418717057175,580.4824905376803,760.0977423448674,72.5694342078706,234.53304581730876,250.28599897760532,11.086511566304317,2.4750562911712297,3.0369167490382796,502.43286159010694,PP_RS05390,guaA,glutamine-hydrolyzing GMP synthase,CDS,1578.0,Metabolic:S_Purine_Metabolism
PP_1033,47.825166278229055,51.54947953427551,60.78396127611616,380.9895295913207,238.97916990863214,259.7307536560055,0.12552882051517292,0.2157069988735177,0.23402681592577249,,PP_RS05395,,LTA synthase family protein,CDS,1887.0,
PP_1034,65.50423924526335,58.30490686638583,94.67332416422731,63.49825493188678,64.46879932418913,53.12674506600113,1.031591172316914,0.9043895260588393,1.7820275653366582,,PP_RS05400,,multicopper oxidase family protein,CDS,1380.0,
PP_1035,13.383713016525219,9.152514449955914,17.56824572119682,9.071179275983825,16.672965342462707,12.986537682800275,1.4754104851569778,0.5489434100031559,1.352804431042824,,PP_RS05405,tadA,tRNA adenosine(34) deaminase TadA,CDS,480.0,
PP_1036,169.37861463379372,163.4135450337367,205.28820463102213,174.62020106268864,321.2324655981148,271.53669700400576,0.9699829321178414,0.5087080620244,0.7560237967687796,,PP_RS05410,mltF,membrane-bound lytic murein transglycosylase MltF,CDS,1458.0,
PP_1037,1606.5693863672345,1275.298772696238,1642.305637048177,399.13188814328834,698.0414823377721,813.4294966772172,4.025159186956459,1.8269670284138495,2.018989529832445,456.55165718133344,PP_RS05415,purL,phosphoribosylformylglycinamidine synthase,CDS,3900.0,Metabolic:S_Purine_Metabolism
PP_1038,27.186485540417173,29.297731440335074,31.395105779546167,13.606768913975738,15.561434319631859,15.347726352400326,1.998011850740956,1.8827140762579897,2.0455867571965207,,PP_RS05420,,YqfO family protein,CDS,312.0,
PP_5427,22.053006575174628,21.670636065371813,35.40760634549853,58.962665293894865,27.78827557077118,41.32080171800088,0.37401644693728,0.7798481777028962,0.8568954345838274,,PP_RS00545,,twin transmembrane helix small protein,CDS,204.0,
PP_1039,2.776269236304644,2.0823181023709227,4.50050739154116,27.213537827951477,21.119089433786097,15.347726352400326,0.10201794613609891,0.09859885810415918,0.2932360981818847,,PP_RS05425,tatC,twin-arginine translocase subunit TatC,CDS,762.0,
PP_1040,1.6238555910461128,1.9612530964191248,0.704898748072712,0.0,3.334593068492542,3.541783004400075,inf,0.5881536535748099,0.19902369715959245,0.0,PP_RS05430,tatB,Sec-independent protein translocase protein TatB,CDS,291.0,Post-translation
PP_1041,0.4976331649980023,0.3631950178553935,0.21689192248391137,2.2677948189959563,5.557655114154236,0.0,0.21943482753802412,0.06535040595275667,inf,0.0,PP_RS05435,tatA,twin-arginine translocase TatA/TatE family subunit,CDS,234.0,Post-translation
PP_1042,2.8024604555150656,2.324448114274518,1.8435813411132467,9.071179275983825,2.2230620456616945,2.3611886696000504,0.3089411387706392,1.0456064952441064,0.7807852734722471,,PP_RS05440,gspK,type II secretion system minor pseudopilin GspK,CDS,966.0,
