,locus_tag,name,description,type,length,subsystem
PP_0111,PP_RS00570,,SCO family protein,CDS,633.0,
PP_0112,PP_RS00575,,MetQ/NlpA family ABC transporter substrate-binding protein,CDS,771.0,Metabolic:S_Transport__ABC_system
PP_0113,PP_RS00580,,methionine ABC transporter permease,CDS,672.0,Metabolic:S_Transport__ABC_system
PP_0114,PP_RS00585,,methionine ABC transporter ATP-binding protein,CDS,1008.0,Metabolic:S_Transport__ABC_system
PP_0115,PP_RS00590,katE,catalase HPII,CDS,2136.0,Metabolic: No subsystem
PP_0116,PP_RS00595,,PA5502 family lipoprotein,CDS,708.0,
PP_0117,PP_RS00600,znuB,zinc ABC transporter permease subunit ZnuB,CDS,783.0,Metabolic:S_Transport__ABC_system
PP_0118,PP_RS00605,znuC,zinc ABC transporter ATP-binding protein ZnuC,CDS,774.0,Metabolic:S_Transport__ABC_system
PP_0119,PP_RS00610,zur,zinc uptake transcriptional repressor Zur,CDS,486.0,
PP_0120,PP_RS00615,,zinc ABC transporter substrate-binding protein,CDS,909.0,Metabolic:S_Transport__ABC_system
PP_0121,PP_RS00620,,homoserine kinase,CDS,951.0,Metabolic:S_Glycine__Serine_and_threonine_metabolism
PP_0122,PP_RS00625,,DUF2782 domain-containing protein,CDS,288.0,
PP_0123,PP_RS00630,polA,DNA polymerase I,CDS,2748.0,
PP_0124,PP_RS00635,yihA,ribosome biogenesis GTP-binding protein YihA/YsxC,CDS,633.0,
PP_0125,PP_RS00640,,cytochrome c5 family protein,CDS,303.0,
PP_0126,PP_RS00645,,cytochrome c,CDS,618.0,
PP_0127,PP_RS00650,dsbA,thiol:disulfide interchange protein DsbA,CDS,633.0,Metabolic:Unassigned
PP_0128,PP_RS00655,,endonuclease/exonuclease/phosphatase family protein,CDS,855.0,
PP_0129,PP_RS00660,,GGDEF domain-containing protein,CDS,1938.0,Metabolic:S_Purine_Metabolism
PP_0130,PP_RS00665,,N-acetylmuramoyl-L-alanine amidase,CDS,789.0,
PP_0131,PP_RS00670,,EAL domain-containing protein,CDS,1599.0,
PP_0132,PP_RS00675,,KinB sensor domain-containing domain,CDS,1782.0,
PP_0133,PP_RS00680,algB,sigma-54-dependent response regulator transcription factor AlgB,CDS,1347.0,
PP_0134,PP_RS00685,,BON domain-containing protein,CDS,822.0,
PP_5428,PP_RS00690,,hypothetical protein,CDS,291.0,
PP_0135,PP_RS00695,,DUF1328 domain-containing protein,CDS,162.0,
PP_0136,PP_RS00700,,inhibitor of vertebrate lysozyme family protein,CDS,471.0,
PP_0137,PP_RS00705,gltP,glutamate/aspartate:proton symporter GltP,CDS,1329.0,Metabolic:S_Transport__Inner_Membrane
PP_0138,PP_RS00710,,nucleoside recognition domain-containing protein,CDS,1230.0,
PP_0139,PP_RS00715,,ABC-type transport auxiliary lipoprotein family protein,CDS,636.0,
PP_0140,PP_RS00720,,MlaD family protein,CDS,939.0,
PP_0141,PP_RS00725,,ABC transporter ATP-binding protein,CDS,792.0,
PP_0142,PP_RS00730,,ABC transporter permease,CDS,1134.0,
PP_0143,PP_RS00735,,DUF5924 family protein,CDS,1026.0,
PP_0144,PP_RS00740,,pitrilysin family protein,CDS,1407.0,
PP_0145,PP_RS00745,,Na/Pi cotransporter family protein,CDS,1659.0,Metabolic:S_Transport__Inner_Membrane
PP_0146,PP_RS00750,,TerC family protein,CDS,771.0,
PP_0147,PP_RS00755,,CitMHS family transporter,CDS,1308.0,Metabolic:S_Transport__Inner_Membrane
PP_0148,PP_RS00760,,GFA family protein,CDS,402.0,
PP_0149,PP_RS00765,,DUF4105 domain-containing protein,CDS,1956.0,
PP_0150,PP_RS00770,,DUF2388 domain-containing protein,CDS,321.0,
PP_0151,PP_RS00775,,DUF2388 domain-containing protein,CDS,294.0,
PP_0152,PP_RS00780,,DUF2388 domain-containing protein,CDS,318.0,
PP_0153,PP_RS00785,,DUF1127 domain-containing protein,CDS,216.0,
PP_0154,PP_RS00790,,acetyl-CoA hydrolase/transferase family protein,CDS,1494.0,Metabolic:S_Alternate_Carbon
PP_0155,PP_RS00795,,NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta,CDS,1437.0,Metabolic:S_Oxidative_Phosphorylation
PP_5747,PP_RS00800,,NAD(P) transhydrogenase subunit alpha,CDS,315.0,
PP_0156,PP_RS00805,,Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha,CDS,1122.0,Metabolic:S_Oxidative_Phosphorylation
PP_0157,PP_RS00810,,LysR family transcriptional regulator,CDS,918.0,
PP_0158,PP_RS00815,,acyl-CoA dehydrogenase,CDS,1182.0,Metabolic:S_Lysine_Metabolism
PP_0159,PP_RS00820,,CaiB/BaiF CoA-transferase family protein,CDS,1221.0,
PP_16SA,PP_RS00825,,16S ribosomal RNA,rRNA,1537.0,Translation
PP_23SA,PP_RS00830,,23S ribosomal RNA,rRNA,2893.0,Translation
PP_5SA,PP_RS00835,rrf,5S ribosomal RNA,rRNA,116.0,Translation
PP_16SB,PP_RS00840,,16S ribosomal RNA,rRNA,1537.0,Translation
PP_23SB,PP_RS00845,,23S ribosomal RNA,rRNA,2893.0,Translation
PP_r01,PP_RS00850,rrf,5S ribosomal RNA,rRNA,116.0,Translation
PP_5SB,PP_RS00855,rrf,5S ribosomal RNA,rRNA,116.0,Translation
PP_0160,PP_RS00860,,TonB-dependent siderophore receptor,CDS,2415.0,Metabolic:S_Iron_uptake_and_metabolism
PP_0161,PP_RS00865,,FecR family protein,CDS,957.0,
PP_0162,PP_RS00870,,sigma-70 family RNA polymerase sigma factor,CDS,504.0,
PP_0163,PP_RS00875,,GntR family transcriptional regulator,CDS,690.0,
PP_0164,PP_RS00880,,cysteine protease LapG,CDS,762.0,
PP_0165,PP_RS00885,,cyclic di-GMP receptor LapD,CDS,1947.0,Metabolic:S_Purine_Metabolism
PP_0166,PP_RS00890,,HlyD family type I secretion periplasmic adaptor subunit,CDS,1359.0,
PP_0167,PP_RS00895,,type I secretion system permease/ATPase,CDS,2157.0,
PP_0168,PP_RS00900,,immunoglobulin-like domain-containing protein,CDS,26049.0,
PP_5431,PP_RS00905,,hypothetical protein,CDS,342.0,
PP_0169,PP_RS00910,,TauD/TfdA family dioxygenase,CDS,900.0,Metabolic:S_Sulfur_Metabolism
PP_0170,PP_RS00915,,ABC transporter substrate-binding protein,CDS,1020.0,
PP_0171,PP_RS00920,,ABC transporter ATP-binding protein,CDS,864.0,
PP_0172,PP_RS00925,,ABC transporter permease,CDS,864.0,
PP_0173,PP_RS00930,,WYL domain-containing protein,CDS,561.0,
PP_0174,PP_RS00935,,tetratricopeptide repeat protein,CDS,795.0,
PP_0175,PP_RS00940,,MarR family winged helix-turn-helix transcriptional regulator,CDS,453.0,
PP_0176,PP_RS00945,,FUSC family protein,CDS,2088.0,
PP_0177,PP_RS00950,,DUF1656 domain-containing protein,CDS,213.0,
PP_0178,PP_RS00955,,HlyD family secretion protein,CDS,876.0,
PP_0179,PP_RS00960,,efflux transporter outer membrane subunit,CDS,1419.0,
PP_0180,PP_RS00965,,FTR1 family protein,CDS,1944.0,
PP_0181,PP_RS00970,,TIGR02647 family protein,CDS,246.0,
PP_0182,PP_RS00975,,hypothetical protein,CDS,303.0,
PP_0183,PP_RS00980,,glutathione S-transferase,CDS,663.0,
PP_0184,PP_RS00985,argH,argininosuccinate lyase,CDS,1395.0,Metabolic:S_Arginine_and_Proline_Metabolism
PP_0185,PP_RS00990,,LytTR family DNA-binding domain-containing protein,CDS,744.0,
PP_0186,PP_RS00995,hemC,hydroxymethylbilane synthase,CDS,942.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism
PP_0187,PP_RS01000,,uroporphyrinogen-III synthase,CDS,768.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism
PP_0188,PP_RS01005,,uroporphyrinogen-III C-methyltransferase,CDS,1101.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism
PP_0189,PP_RS01010,,heme biosynthesis protein HemY,CDS,1239.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism
PP_0190,PP_RS01015,,disulfide bond formation protein B,CDS,507.0,Metabolic:Unassigned
PP_0191,PP_RS01020,,Rsd/AlgQ family anti-sigma factor,CDS,471.0,
PP_0192,PP_RS01025,,FKBP-type peptidyl-prolyl cis-trans isomerase,CDS,639.0,
PP_0194,PP_RS01030,,AlgP family protein,CDS,990.0,
PP_0195,PP_RS01035,,TIGR02444 family protein,CDS,480.0,
PP_0196,PP_RS01040,,ATP-binding cassette domain-containing protein,CDS,1911.0,
PP_0197,PP_RS01045,,mechanosensitive ion channel family protein,CDS,588.0,
PP_0198,PP_RS01050,,LysE family transporter,CDS,633.0,
PP_0199,PP_RS01055,,slipin family protein,CDS,753.0,
PP_0200,PP_RS01060,,nodulation protein NfeD,CDS,1347.0,
PP_0201,PP_RS01065,,aminoacyl-tRNA deacylase,CDS,459.0,
PP_5432,PP_RS01070,,DUF2789 domain-containing protein,CDS,243.0,
PP_5433,PP_RS01075,,hypothetical protein,CDS,639.0,
PP_0202,PP_RS01080,,CBS domain-containing protein,CDS,438.0,
PP_0203,PP_RS01085,,dipeptidase,CDS,1731.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Amines_and_Polyamines_Metabolism
PP_t74,PP_RS01090,,tRNA-Arg,tRNA,77.0,Translation
PP_0204,PP_RS01095,,GntR family transcriptional regulator,CDS,750.0,
PP_0205,PP_RS01100,,fumarate reductase/succinate dehydrogenase flavoprotein subunit,CDS,1725.0,Translation
PP_0206,PP_RS01105,,ferredoxin family protein,CDS,246.0,
PP_0207,PP_RS01110,,ABC transporter substrate-binding protein,CDS,1407.0,Metabolic:S_Transport__ABC_system
PP_0208,PP_RS01115,,ABC transporter permease,CDS,783.0,Metabolic:S_Transport__ABC_system
PP_0209,PP_RS01120,,ABC transporter ATP-binding protein,CDS,852.0,Metabolic:S_Transport__ABC_system
PP_0210,PP_RS01125,,HEAT repeat domain-containing protein,CDS,966.0,
PP_0211,PP_RS01130,,gamma-butyrobetaine hydroxylase-like domain-containing protein,CDS,282.0,
PP_5434,PP_RS28825,,aryl-sulfate sulfotransferase,CDS,181.0,
PP_0213,PP_RS01135,gabD,NADP-dependent succinate-semialdehyde dehydrogenase,CDS,1443.0,Metabolic:S_Lysine_Metabolism
PP_0214,PP_RS01140,gabT,4-aminobutyrate--2-oxoglutarate transaminase,CDS,1278.0,Metabolic:S_Lysine_Metabolism
PP_0215,PP_RS01145,,response regulator,CDS,1260.0,
PP_0216,PP_RS01150,,sensor domain-containing diguanylate cyclase,CDS,1029.0,
PP_0217,PP_RS01155,desA,delta-9 fatty acid desaturase DesA,CDS,1185.0,Metabolic:S_Fatty_Acid__Biosynthesis
PP_0218,PP_RS01160,,phosphodiesterase DibA,CDS,1896.0,
PP_0219,PP_RS01165,,methionine ABC transporter permease,CDS,645.0,Metabolic:S_Transport__ABC_system
PP_0220,PP_RS01170,,methionine ABC transporter ATP-binding protein,CDS,1110.0,Metabolic:S_Transport__ABC_system
PP_0221,PP_RS01175,,MetQ/NlpA family ABC transporter substrate-binding protein,CDS,801.0,Metabolic:S_Transport__ABC_system
PP_0222,PP_RS01180,,LLM class flavin-dependent oxidoreductase,CDS,1386.0,
PP_0223,PP_RS01185,,SfnB family sulfur acquisition oxidoreductase,CDS,1182.0,
PP_0224,PP_RS01190,,SfnB family sulfur acquisition oxidoreductase,CDS,1242.0,
PP_0225,PP_RS01195,tcyN,L-cystine ABC transporter ATP-binding protein TcyN,CDS,759.0,Metabolic:S_Transport__ABC_system
PP_0226,PP_RS01200,tcyL,cystine ABC transporter permease,CDS,669.0,Metabolic:S_Transport__ABC_system
PP_0227,PP_RS01205,tcyJ,cystine ABC transporter substrate-binding protein,CDS,795.0,Metabolic:S_Transport__ABC_system
PP_0228,PP_RS01210,epsC,serine O-acetyltransferase EpsC,CDS,933.0,Metabolic:S_Cysteine_Metabolism
PP_0229,PP_RS01215,betT,choline transporter BetT,CDS,1962.0,Metabolic:S_Transport__Inner_Membrane
PP_0230,PP_RS01220,tauD,taurine dioxygenase,CDS,834.0,Metabolic:S_Sulfur_Metabolism
PP_0231,PP_RS01225,tauC,taurine ABC transporter permease TauC,CDS,840.0,Metabolic:S_Transport__ABC_system
PP_0232,PP_RS01230,tauB,taurine ABC transporter ATP-binding subunit,CDS,789.0,Metabolic:S_Transport__ABC_system
PP_0233,PP_RS01235,tauA,taurine ABC transporter substrate-binding protein,CDS,972.0,Metabolic:S_Transport__ABC_system
PP_0234,PP_RS01240,,OprD family porin,CDS,1335.0,Metabolic: No subsystem
PP_0235,PP_RS01245,,peroxiredoxin,CDS,639.0,
PP_0236,PP_RS01250,ssuE,NADPH-dependent FMN reductase,CDS,594.0,Metabolic:S_Iron_uptake_and_metabolism
PP_0237,PP_RS01255,,sulfonate ABC transporter substrate-binding protein,CDS,966.0,Metabolic:S_Transport__ABC_system
PP_0238,PP_RS01260,ssuD,FMNH2-dependent alkanesulfonate monooxygenase,CDS,1149.0,Metabolic:S_Sulfur_Metabolism
PP_0239,PP_RS01265,ssuC,aliphatic sulfonate ABC transporter permease SsuC,CDS,798.0,Metabolic:S_Transport__ABC_system
PP_0240,PP_RS01270,ssuB,aliphatic sulfonates ABC transporter ATP-binding protein,CDS,813.0,Metabolic:S_Transport__ABC_system
PP_0241,PP_RS01275,,molybdopterin-binding protein,CDS,216.0,
PP_0242,PP_RS01280,,TetR/AcrR family transcriptional regulator,CDS,633.0,
PP_0243,PP_RS01285,gshA,glutamate--cysteine ligase,CDS,1593.0,Metabolic:S_Glutamate_Metabolism
PP_0244,PP_RS01290,,PaaI family thioesterase,CDS,384.0,
PP_0245,PP_RS01295,,Tex family protein,CDS,2325.0,
PP_0246,PP_RS01300,ompR,two-component system response regulator OmpR,CDS,741.0,
PP_0247,PP_RS01305,,ATP-binding protein,CDS,1314.0,
PP_0248,PP_RS01310,rimK,30S ribosomal protein S6--L-glutamate ligase,CDS,906.0,
PP_0249,PP_RS01315,,ATP-dependent zinc protease,CDS,483.0,
PP_0250,PP_RS01320,,RNA-binding S4 domain-containing protein,CDS,402.0,
PP_0251,PP_RS01325,,phosphatase PAP2 family protein,CDS,795.0,
PP_0252,PP_RS01330,hslO,Hsp33 family molecular chaperone HslO,CDS,900.0,
PP_0253,PP_RS01335,,phosphoenolpyruvate carboxykinase,CDS,1541.0,
PP_0254,PP_RS01340,,thioesterase family protein,CDS,441.0,
PP_0255,PP_RS01345,,glycine zipper domain-containing protein,CDS,483.0,
PP_0256,PP_RS01350,,FdhF/YdeP family oxidoreductase,CDS,2346.0,
PP_0257,PP_RS01355,fdhD,formate dehydrogenase accessory sulfurtransferase FdhD,CDS,831.0,
PP_0258,PP_RS01360,lysM,peptidoglycan-binding protein LysM,CDS,441.0,
PP_0259,PP_RS01365,yrfG,GMP/IMP nucleotidase,CDS,663.0,
PP_0260,PP_RS01370,nudE,ADP compounds hydrolase NudE,CDS,567.0,Metabolic:S_Purine_Metabolism
PP_0261,PP_RS01375,cysQ,"3'(2'),5'-bisphosphate nucleotidase CysQ",CDS,819.0,Metabolic:S_Sulfur_Metabolism
PP_0262,PP_RS01380,,YiiD C-terminal domain-containing protein,CDS,456.0,
PP_0263,PP_RS01385,,sigma-54 dependent transcriptional regulator,CDS,1407.0,
PP_0264,PP_RS01390,,ATP-binding protein,CDS,1815.0,
PP_0265,PP_RS01395,rfbC,"dTDP-4-dehydrorhamnose 3,5-epimerase",CDS,546.0,Metabolic:S_Alginate_biosynthesis
PP_0266,PP_RS01400,aguA,agmatine deiminase,CDS,1107.0,Metabolic:S_Arginine_and_Proline_Metabolism
PP_0267,PP_RS01405,,TonB-dependent siderophore receptor,CDS,2070.0,
PP_0268,PP_RS01410,,OprD family porin,CDS,1320.0,
PP_0269,PP_RS01415,,FMN-binding glutamate synthase family protein,CDS,1668.0,
PP_0270,PP_RS01420,,ATP-binding protein,CDS,1368.0,
PP_0271,PP_RS01425,,response regulator,CDS,720.0,
PP_0272,PP_RS01430,,TonB-dependent siderophore receptor,CDS,2298.0,
PP_0273,PP_RS01435,,DUF3079 domain-containing protein,CDS,207.0,
PP_5435,PP_RS01440,,type II toxin-antitoxin system HigB family toxin,CDS,477.0,
PP_0274,PP_RS01445,,type II toxin-antitoxin system HigA family antitoxin,CDS,474.0,
PP_5436,PP_RS01450,,integrase,CDS,188.0,
PP_0275,PP_RS01455,,type II toxin-antitoxin system RelE/ParE family toxin,CDS,216.0,
PP_0276,PP_RS01460,,helix-turn-helix domain-containing protein,CDS,324.0,
PP_t73,PP_RS01465,,tRNA-Thr,tRNA,76.0,Translation
PP_0277,PP_RS01470,,hypothetical protein,CDS,249.0,
PP_0278,PP_RS01475,,DUF3077 domain-containing protein,CDS,275.0,
PP_0279,PP_RS01480,,methyltransferase,CDS,1206.0,
PP_0280,PP_RS01485,,ABC transporter permease,CDS,690.0,Metabolic:S_Transport__ABC_system
PP_0281,PP_RS01490,,ABC transporter permease,CDS,693.0,Metabolic:S_Transport__ABC_system
PP_0282,PP_RS01495,,ABC transporter substrate-binding protein,CDS,753.0,Metabolic:S_Transport__ABC_system
PP_0283,PP_RS01500,,ABC transporter ATP-binding protein,CDS,774.0,Metabolic:S_Transport__ABC_system
PP_0284,PP_RS01505,gabP,GABA permease,CDS,1386.0,Metabolic:S_Transport__Inner_Membrane
PP_5439,PP_RS01510,,hypothetical protein,CDS,444.0,
PP_5440,PP_RS01515,,hypothetical protein,CDS,228.0,
