,PPutida_1,PPutida_2,PPutida_4,PPutida_1_rna,PPutida_2_rna,PPutida_4_rna,PPutida_1_te,PPutida_2_te,PPutida_4_te,predicted,locus_tag,name,description,type,length,subsystem
PP_0978,1713.0,1799.0,967.0,7.0,44.0,49.0,244.71428571428572,40.88636363636363,19.73469387755102,,PP_RS05125,,hypothetical protein,CDS,366.0,
PP_0979,2472.0,2498.0,1041.0,4.0,16.0,7.0,618.0,156.125,148.71428571428572,,PP_RS05130,,DNA polymerase III subunit chi,CDS,429.0,
PP_0980,17760.0,17372.0,7751.0,50.0,205.0,237.0,355.2,84.74146341463414,32.70464135021097,0.0,PP_RS05135,,leucyl aminopeptidase,CDS,1494.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism
PP_0982,8758.0,10389.0,5449.0,38.0,73.0,109.0,230.47368421052633,142.31506849315068,49.99082568807339,14.128324297527156,PP_RS05140,lptF,LPS export ABC transporter permease LptF,CDS,1116.0,Metabolic:S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis
PP_0983,5996.0,6783.0,3280.0,9.0,53.0,63.0,666.2222222222222,127.98113207547169,52.06349206349206,14.128324297527156,PP_RS05145,lptG,LPS export ABC transporter permease LptG,CDS,1062.0,Metabolic:S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis
PP_0984,5860.0,7243.0,2432.0,14.0,32.0,54.0,418.57142857142856,226.34375,45.03703703703704,,PP_RS05150,,RDD family protein,CDS,489.0,
PP_0985,15392.0,17549.0,4994.0,136.0,212.0,201.0,113.17647058823529,82.77830188679245,24.845771144278608,,PP_RS05155,,cold-shock protein,CDS,210.0,
PP_0986,5173.0,5576.0,2992.0,33.0,50.0,131.0,156.75757575757575,111.52,22.83969465648855,81.1861555857724,PP_RS05160,gcvT,glycine cleavage system aminomethyltransferase GcvT,CDS,1122.0,Metabolic:S_Glycine__Serine_and_threonine_metabolism
PP_0987,2404.0,2892.0,1599.0,35.0,65.0,71.0,68.68571428571428,44.49230769230769,22.52112676056338,0.0,PP_RS05165,,L-serine ammonia-lyase,CDS,1377.0,Metabolic:S_Glycine__Serine_and_threonine_metabolism
PP_0988,22877.0,22072.0,13689.0,103.0,281.0,305.0,222.10679611650485,78.54804270462634,44.881967213114756,81.1861555857724,PP_RS05170,gcvP,aminomethyl-transferring glycine dehydrogenase,CDS,2856.0,Metabolic:S_Glycine__Serine_and_threonine_metabolism
PP_5426,3403.0,3268.0,2102.0,38.0,68.0,80.0,89.55263157894737,48.05882352941177,26.275,,PP_RS00520,,hypothetical protein,CDS,642.0,
PP_0989,5727.0,6234.0,2804.0,43.0,61.0,92.0,133.1860465116279,102.19672131147541,30.47826086956522,81.1861555857724,PP_RS05175,gcvH,glycine cleavage system protein GcvH,CDS,384.0,Metabolic:S_Glycine__Serine_and_threonine_metabolism
PP_0990,259.0,221.0,180.0,26.0,5.0,11.0,9.961538461538462,44.2,16.363636363636363,,PP_RS05180,,DoxX family protein,CDS,468.0,
PP_0991,384.0,444.0,185.0,4.0,10.0,6.0,96.0,44.4,30.833333333333332,,PP_RS05185,,DNA-binding domain-containing protein,CDS,774.0,
PP_0992,599.0,556.0,353.0,15.0,18.0,12.0,39.93333333333333,30.88888888888889,29.416666666666668,,PP_RS05190,,DUF692 domain-containing protein,CDS,834.0,
PP_0993,291.0,282.0,137.0,4.0,8.0,24.0,72.75,35.25,5.708333333333333,,PP_RS05195,,DUF2282 domain-containing protein,CDS,288.0,
PP_0994,1258.0,1423.0,537.0,29.0,67.0,53.0,43.37931034482759,21.238805970149254,10.132075471698114,,PP_RS05200,,sigma-70 family RNA polymerase sigma factor,CDS,585.0,
PP_0995,1136.0,1067.0,542.0,9.0,15.0,13.0,126.22222222222223,71.13333333333334,41.69230769230769,,PP_RS05205,,DUF1109 domain-containing protein,CDS,642.0,
PP_0996,960.0,1040.0,467.0,32.0,43.0,35.0,30.0,24.186046511627907,13.342857142857143,0.0,PP_RS05210,gltS,sodium/glutamate symporter,CDS,1206.0,Metabolic:S_Transport__Inner_Membrane
PP_0997,4775.0,5530.0,2354.0,26.0,76.0,67.0,183.65384615384616,72.76315789473684,35.134328358208954,,PP_RS05215,,sigma-54-dependent transcriptional regulator,CDS,1509.0,
PP_0998,27609.0,33574.0,9622.0,190.0,478.0,703.0,145.31052631578947,70.23849372384937,13.68705547652916,,PP_RS05220,,DUF5064 family protein,CDS,369.0,
PP_0103,3733.0,4489.0,2827.0,62.0,71.0,93.0,60.20967741935484,63.225352112676056,30.397849462365592,0.07279087394817932,PP_RS00525,coxB,cytochrome c oxidase subunit II,CDS,1128.0,Metabolic:S_Oxidative_Phosphorylation
PP_0999,38818.0,40180.0,16473.0,581.0,1591.0,1919.0,66.81239242685025,25.25455688246386,8.584158415841584,1109.1952046015153,PP_RS05225,arcC,carbamate kinase,CDS,930.0,Metabolic:S_Glutamate_Metabolism
PP_1000,110790.0,127648.0,38920.0,4908.0,7090.0,8888.0,22.573349633251834,18.00394922425952,4.378937893789379,1109.1952046015153,PP_RS05230,,ornithine carbamoyltransferase,CDS,1011.0,Metabolic:S_Arginine_and_Proline_Metabolism
PP_1001,103981.0,110562.0,40664.0,2817.0,6739.0,8363.0,36.91196308129216,16.406291734678735,4.862369962931962,0.0,PP_RS05235,arcA,arginine deiminase,CDS,1254.0,Metabolic:S_Arginine_and_Proline_Metabolism
PP_1002,42202.0,50277.0,23755.0,211.0,1140.0,1228.0,200.00947867298578,44.10263157894737,19.344462540716613,0.0,PP_RS05240,arcD,arginine-ornithine antiporter,CDS,1428.0,Metabolic:S_Transport__Inner_Membrane
PP_1003,3023.0,3242.0,1761.0,25.0,88.0,90.0,120.92,36.84090909090909,19.566666666666666,0.0,PP_RS05245,arcD,arginine-ornithine antiporter,CDS,1428.0,Metabolic:S_Transport__Inner_Membrane
PP_1004,1226.0,941.0,597.0,6.0,25.0,25.0,204.33333333333334,37.64,23.88,,PP_RS05250,,YbaN family protein,CDS,414.0,
PP_1005,1541.0,1492.0,687.0,2.0,17.0,35.0,770.5,87.76470588235294,19.62857142857143,0.0,PP_RS05255,,biliverdin-producing heme oxygenase,CDS,594.0,Metabolic:S_Iron_uptake_and_metabolism
PP_1006,1045.0,982.0,607.0,50.0,48.0,34.0,20.9,20.458333333333332,17.852941176470587,0.0,PP_RS05260,,TonB-dependent receptor,CDS,2589.0,Metabolic:S_Transport__Outer_Membrane
PP_1007,905.0,800.0,720.0,7.0,11.0,8.0,129.28571428571428,72.72727272727273,90.0,,PP_RS05265,,FecR domain-containing protein,CDS,963.0,
PP_1008,600.0,890.0,167.0,2.0,15.0,7.0,300.0,59.333333333333336,23.857142857142858,,PP_RS05270,,RNA polymerase sigma factor,CDS,513.0,
PP_0104,1314.0,1986.0,809.0,36.0,60.0,88.0,36.5,33.1,9.193181818181818,0.07279087394817932,PP_RS00530,ctaD,cytochrome c oxidase subunit I,CDS,1590.0,Metabolic:S_Oxidative_Phosphorylation
PP_1009,34446.0,38257.0,16367.0,119.0,597.0,777.0,289.4621848739496,64.0820770519263,21.064350064350066,0.0,PP_RS05275,gap,type I glyceraldehyde-3-phosphate dehydrogenase,CDS,1002.0,Metabolic:S_Gluconeogenesis
PP_1010,69122.0,80692.0,32314.0,96.0,671.0,847.0,720.0208333333334,120.25633383010432,38.15112160566706,17017.222833703523,PP_RS05280,edd,phosphogluconate dehydratase,CDS,1827.0,Metabolic:S_Glycolysis
PP_1011,11885.0,11285.0,5149.0,85.0,361.0,335.0,139.8235294117647,31.26038781163435,15.370149253731343,0.0,PP_RS05285,,glucokinase,CDS,960.0,Metabolic:S_Glycolysis
PP_1012,14853.0,15696.0,7610.0,22.0,103.0,122.0,675.1363636363636,152.38834951456312,62.377049180327866,,PP_RS05290,gltR,two-component system response regulator GltR,CDS,726.0,
PP_1013,3333.0,2585.0,1982.0,16.0,88.0,61.0,208.3125,29.375,32.49180327868852,,PP_RS05295,,ATP-binding protein,CDS,1455.0,
PP_1014,29072.0,27848.0,15525.0,60.0,311.0,411.0,484.53333333333336,89.54340836012862,37.77372262773723,0.0,PP_RS05300,,AGE family epimerase/isomerase,CDS,1251.0,Metabolic:S_Alternate_Carbon
PP_1015,101822.0,103262.0,43265.0,340.0,1396.0,1920.0,299.4764705882353,73.96991404011462,22.533854166666668,0.0,PP_RS05305,,ABC transporter substrate-binding protein,CDS,1287.0,Metabolic:S_Transport__ABC_system
PP_1016,9908.0,8233.0,6409.0,28.0,47.0,77.0,353.85714285714283,175.17021276595744,83.23376623376623,0.0,PP_RS05310,,carbohydrate ABC transporter permease,CDS,909.0,Metabolic:S_Transport__ABC_system
PP_1017,7700.0,6573.0,4824.0,14.0,99.0,108.0,550.0,66.39393939393939,44.666666666666664,0.0,PP_RS05315,,carbohydrate ABC transporter permease,CDS,846.0,Metabolic:S_Transport__ABC_system
PP_1018,8539.0,7982.0,6111.0,101.0,238.0,277.0,84.54455445544555,33.53781512605042,22.061371841155236,0.0,PP_RS05320,ugpC,ABC transporter ATP-binding protein,CDS,1155.0,Metabolic:S_Transport__ABC_system
PP_0105,471.0,460.0,346.0,16.0,9.0,15.0,29.4375,51.111111111111114,23.066666666666666,0.07279087394817932,PP_RS00535,,cytochrome c oxidase assembly protein,CDS,567.0,Metabolic:S_Oxidative_Phosphorylation
PP_1019,14578.0,13932.0,11975.0,113.0,380.0,328.0,129.00884955752213,36.66315789473684,36.50914634146341,0.0,PP_RS05325,,carbohydrate porin,CDS,1344.0,Metabolic:S_Transport__Outer_Membrane
PP_1020,11667.0,10693.0,7270.0,89.0,411.0,267.0,131.08988764044943,26.017031630170315,27.228464419475657,,PP_RS05330,,D-hexose-6-phosphate mutarotase,CDS,855.0,
PP_1021,11780.0,12285.0,6650.0,28.0,152.0,141.0,420.7142857142857,80.82236842105263,47.163120567375884,,PP_RS05335,hexR,DNA-binding transcriptional regulator HexR,CDS,864.0,
PP_1022,109720.0,126850.0,59718.0,895.0,2084.0,2119.0,122.59217877094972,60.86852207293666,28.182161396885324,0.0,PP_RS05340,zwf,glucose-6-phosphate dehydrogenase,CDS,1470.0,Metabolic:S_Glycolysis
PP_1023,40513.0,38869.0,17408.0,42.0,544.0,624.0,964.5952380952381,71.45036764705883,27.897435897435898,0.0,PP_RS05345,pgl,6-phosphogluconolactonase,CDS,714.0,Metabolic:S_Glycolysis
PP_1024,55129.0,49461.0,21756.0,266.0,858.0,977.0,207.25187969924812,57.64685314685315,22.26816786079836,51051.66850111057,PP_RS05350,,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase,CDS,681.0,Metabolic:S_Glycolysis
PP_1025,27877.0,34150.0,11919.0,317.0,906.0,889.0,87.94006309148266,37.69315673289183,13.407199100112486,1074.5061218494652,PP_RS05355,leuA,2-isopropylmalate synthase,CDS,1674.0,Metabolic:S_Valine__Leucine__and_Isoleucine_Metabolism
PP_1026,1789.0,1772.0,1264.0,5.0,33.0,17.0,357.8,53.696969696969695,74.3529411764706,,PP_RS05360,,M23 family metallopeptidase,CDS,828.0,
PP_1027,5701.0,6462.0,2930.0,33.0,77.0,97.0,172.75757575757575,83.92207792207792,30.20618556701031,,PP_RS05365,xseA,exodeoxyribonuclease VII large subunit,CDS,1380.0,
PP_1028,320.0,340.0,191.0,16.0,15.0,10.0,20.0,22.666666666666668,19.1,,PP_RS05370,,LysR family transcriptional regulator,CDS,879.0,
PP_0106,1132.0,1318.0,715.0,36.0,63.0,52.0,31.444444444444443,20.92063492063492,13.75,0.07279087394817932,PP_RS00540,,cytochrome c oxidase subunit 3,CDS,888.0,Metabolic:S_Oxidative_Phosphorylation
PP_1029,235.0,287.0,134.0,12.0,9.0,0.0,19.583333333333332,31.88888888888889,inf,,PP_RS05375,,sulfite exporter TauE/SafE family protein,CDS,756.0,
PP_1030,3057.0,3309.0,1319.0,49.0,147.0,107.0,62.38775510204081,22.510204081632654,12.327102803738319,,PP_RS05380,,hypothetical protein,CDS,558.0,
PP_1031,92387.0,95570.0,41542.0,272.0,805.0,832.0,339.65808823529414,118.72049689440993,49.93028846153846,1004.261636152262,PP_RS05385,guaB,IMP dehydrogenase,CDS,1470.0,Metabolic:S_Purine_Metabolism
PP_1032,30718.0,23974.0,14018.0,32.0,211.0,212.0,959.9375,113.62085308056872,66.12264150943396,502.130818076131,PP_RS05390,guaA,glutamine-hydrolyzing GMP synthase,CDS,1578.0,Metabolic:S_Purine_Metabolism
PP_1033,1826.0,2129.0,1121.0,168.0,215.0,220.0,10.869047619047619,9.902325581395349,5.095454545454546,,PP_RS05395,,LTA synthase family protein,CDS,1887.0,
PP_1034,2501.0,2408.0,1746.0,28.0,58.0,45.0,89.32142857142857,41.51724137931034,38.8,,PP_RS05400,,multicopper oxidase family protein,CDS,1380.0,
PP_1035,511.0,378.0,324.0,4.0,15.0,11.0,127.75,25.2,29.454545454545453,,PP_RS05405,tadA,tRNA adenosine(34) deaminase TadA,CDS,480.0,
PP_1036,6467.0,6749.0,3786.0,77.0,289.0,230.0,83.98701298701299,23.352941176470587,16.46086956521739,,PP_RS05410,mltF,membrane-bound lytic murein transglycosylase MltF,CDS,1458.0,
PP_1037,61340.0,52670.0,30288.0,176.0,628.0,689.0,348.52272727272725,83.86942675159236,43.959361393323654,456.2727730977146,PP_RS05415,purL,phosphoribosylformylglycinamidine synthase,CDS,3900.0,Metabolic:S_Purine_Metabolism
PP_1038,1038.0,1210.0,579.0,6.0,14.0,13.0,173.0,86.42857142857143,44.53846153846154,,PP_RS05420,,YqfO family protein,CDS,312.0,
PP_5427,842.0,895.0,653.0,26.0,25.0,35.0,32.38461538461539,35.8,18.65714285714286,,PP_RS00545,,twin transmembrane helix small protein,CDS,204.0,
PP_1039,106.0,86.0,83.0,12.0,19.0,13.0,8.833333333333334,4.526315789473684,6.384615384615385,,PP_RS05425,tatC,twin-arginine translocase subunit TatC,CDS,762.0,
PP_1040,62.0,81.0,13.0,0.0,3.0,3.0,inf,27.0,4.333333333333333,0.0,PP_RS05430,tatB,Sec-independent protein translocase protein TatB,CDS,291.0,Post-translation
PP_1041,19.0,15.0,4.0,1.0,5.0,0.0,19.0,3.0,inf,0.0,PP_RS05435,tatA,twin-arginine translocase TatA/TatE family subunit,CDS,234.0,Post-translation
PP_1042,107.0,96.0,34.0,4.0,2.0,2.0,26.75,48.0,17.0,,PP_RS05440,gspK,type II secretion system minor pseudopilin GspK,CDS,966.0,
PP_1043,804.0,695.0,262.0,25.0,24.0,11.0,32.16,28.958333333333332,23.818181818181817,,PP_RS05445,,PhoX family phosphatase,CDS,2076.0,
PP_1044,153.0,145.0,95.0,4.0,4.0,2.0,38.25,36.25,47.5,,PP_RS05450,,lipoprotein UxpA,CDS,1641.0,
PP_1045,19.0,19.0,7.0,0.0,0.0,0.0,inf,inf,inf,,PP_RS05455,,pilus assembly protein PilZ,CDS,426.0,
PP_1046,267.0,328.0,129.0,23.0,11.0,10.0,11.608695652173912,29.818181818181817,12.9,,PP_RS05460,gspD,type II secretion system secretin GspD,CDS,1737.0,
PP_1047,106.0,90.0,49.0,14.0,1.0,0.0,7.571428571428571,90.0,inf,,PP_RS05465,,GspE/PulE family protein,CDS,1449.0,
PP_1048,51.0,41.0,23.0,2.0,5.0,12.0,25.5,8.2,1.9166666666666667,,PP_RS05470,gspF,type II secretion system inner membrane protein GspF,CDS,1203.0,
PP_0011,21714.0,19138.0,8769.0,85.0,226.0,154.0,255.45882352941177,84.68141592920354,56.94155844155844,,PP_RS00055,dnaN,DNA polymerase III subunit beta,CDS,1104.0,
PP_0107,458.0,399.0,375.0,5.0,17.0,17.0,91.6,23.470588235294116,22.058823529411764,,PP_RS00550,,SURF1 family protein,CDS,738.0,
PP_1049,61.0,82.0,12.0,0.0,0.0,0.0,inf,inf,inf,,PP_RS05475,gspG,type II secretion system major pseudopilin GspG,CDS,435.0,
PP_1050,25.0,44.0,12.0,0.0,0.0,1.0,inf,inf,12.0,,PP_RS05480,gspH,type II secretion system minor pseudopilin GspH,CDS,432.0,
PP_1051,45.0,41.0,20.0,0.0,0.0,0.0,inf,inf,inf,,PP_RS05485,,type II secretion system protein GspI,CDS,369.0,
PP_1052,110.0,164.0,51.0,1.0,1.0,2.0,110.0,164.0,25.5,,PP_RS05490,,prepilin-type N-terminal cleavage/methylation domain-containing protein,CDS,591.0,
PP_1053,62.0,99.0,46.0,0.0,4.0,0.0,inf,24.75,inf,,PP_RS05495,,type II secretion system protein GspL,CDS,1077.0,
PP_1054,17.0,12.0,6.0,2.0,3.0,0.0,8.5,4.0,inf,,PP_RS05500,gspM,type II secretion system protein GspM,CDS,387.0,
PP_1055,190.0,177.0,101.0,10.0,5.0,9.0,19.0,35.4,11.222222222222221,,PP_RS05505,,general secretion pathway protein GspN,CDS,663.0,
PP_1056,811.0,753.0,753.0,15.0,36.0,39.0,54.06666666666667,20.916666666666668,19.307692307692307,,PP_RS05510,,siderophore-interacting protein,CDS,762.0,
PP_1057,998.0,774.0,575.0,9.0,33.0,42.0,110.88888888888889,23.454545454545453,13.69047619047619,,PP_RS05515,,PadR family transcriptional regulator,CDS,546.0,
PP_1058,3898.0,4372.0,2387.0,153.0,265.0,275.0,25.477124183006534,16.49811320754717,8.68,,PP_RS05520,,transglycosylase domain-containing protein,CDS,3150.0,
PP_0108,205.0,162.0,181.0,1.0,4.0,8.0,205.0,40.5,22.625,,PP_RS00555,,hypothetical protein,CDS,582.0,
PP_1059,5816.0,6610.0,2884.0,36.0,75.0,82.0,161.55555555555554,88.13333333333334,35.170731707317074,0.0,PP_RS05525,,amino acid permease,CDS,1419.0,Metabolic:S_Transport__Inner_Membrane
PP_1060,2921.0,3483.0,1395.0,40.0,79.0,120.0,73.025,44.08860759493671,11.625,,PP_RS05530,,FMN-binding glutamate synthase family protein,CDS,1620.0,
PP_1061,2426.0,2537.0,1310.0,31.0,68.0,49.0,78.25806451612904,37.30882352941177,26.73469387755102,,PP_RS05535,,DEAD/DEAH box helicase,CDS,4305.0,
PP_1062,809.0,786.0,351.0,4.0,13.0,6.0,202.25,60.46153846153846,58.5,,PP_RS05540,,NUDIX domain-containing protein,CDS,414.0,
PP_1063,2284.0,2120.0,1518.0,15.0,72.0,51.0,152.26666666666668,29.444444444444443,29.764705882352942,,PP_RS05545,metR,transcriptional regulator MetR,CDS,918.0,
PP_1064,321.0,270.0,159.0,5.0,8.0,1.0,64.2,33.75,159.0,,PP_RS05550,,alpha/beta fold hydrolase,CDS,996.0,
PP_1065,273.0,205.0,140.0,8.0,8.0,14.0,34.125,25.625,10.0,,PP_RS05555,,GlpM family protein,CDS,336.0,
PP_1066,2606.0,3007.0,1439.0,18.0,33.0,26.0,144.77777777777777,91.12121212121212,55.34615384615385,,PP_RS05560,,sigma-54 dependent transcriptional regulator,CDS,1329.0,
PP_1067,1512.0,1602.0,812.0,44.0,93.0,69.0,34.36363636363637,17.225806451612904,11.768115942028986,,PP_RS05565,,ATP-binding protein,CDS,1905.0,
PP_1068,1744.0,1603.0,1069.0,20.0,91.0,105.0,87.2,17.615384615384617,10.18095238095238,0.0,PP_RS05570,,amino acid ABC transporter ATP-binding protein,CDS,735.0,Metabolic:S_Transport__ABC_system
PP_0109,356.0,336.0,281.0,7.0,13.0,14.0,50.857142857142854,25.846153846153847,20.071428571428573,,PP_RS00560,,heme A synthase,CDS,1080.0,
PP_1069,1971.0,1941.0,941.0,24.0,42.0,51.0,82.125,46.214285714285715,18.45098039215686,0.0,PP_RS05575,,amino acid ABC transporter permease,CDS,672.0,Metabolic:S_Transport__ABC_system
PP_1070,1665.0,1474.0,1074.0,57.0,51.0,49.0,29.210526315789473,28.901960784313726,21.918367346938776,0.0,PP_RS05580,,amino acid ABC transporter permease,CDS,747.0,Metabolic:S_Transport__ABC_system
PP_1071,21516.0,20844.0,9789.0,261.0,310.0,450.0,82.4367816091954,67.23870967741935,21.753333333333334,0.0,PP_RS05585,,glutamate/aspartate ABC transporter substrate-binding protein,CDS,918.0,Metabolic:S_Transport__ABC_system
